# --- 危废管理 (Cornell Hazardous Waste Manual) ---
危废产生者责任	制度	通用	2	法规;责任;EPA;DEC	所有化学使用者都有法律和道德责任确保危险废物的妥善处置。危险废物的产生者有责任识别所有可能产生的危险废物，并确保按照EHS要求进行管理。PI或主管负责确保其下属人员遵循废物管理政策和程序。
卫星积累区(SAA)管理规范	制度	通用	3	SAA;标签;储存;危废	卫星积累区是指危险废物产生和储存的地点（实验室或工作区域）。要求：废物必须储存在产生点附近（同一房间）；张贴SAA标识；容器必须受控且完好；容器必须保持密闭（加盖），仅在添加废物时打开；用"危险废物"及成分名称标记容器；使用二次防漏容器；不超过55加仑危险废物或1夸脱急性危险废物(P-list)；兼容废物分类存放。
危险废物F类清单	分类	化学	4	F-list;废溶剂;RCRA;EPA	F类废物为"非特定来源废物"，主要是废溶剂和废水。许多实验室产生的废溶剂属于此类。常见的F类废物包括：二氯甲烷、氯仿、丙酮、甲醇、甲苯等使用后的废溶剂。卤代和非卤代废溶剂应尽量分开收集以降低处置成本。
U类和P类废物	分类	化学	5	P-list;U-list;急性毒性;商业化学品	U类和P类废物为废弃的商业化学产品。P类废物为急性毒性物质——空容器需三重清洗且清洗液作为危废处置。P类废物的储存时间要求更严格。未使用/过期的化学品通常属于此类。
危险特性废物-可燃性	分类	化学	3	可燃性;闪点;氧化剂;RCRA	满足以下任一条件即为可燃性危险废物：1) 液体闪点<140°F（60°C），含水溶液酒精体积<24%除外；2) 非液体可通过摩擦、自燃或持续剧烈燃烧产生危害；3) 可燃压缩气体；4) 氧化剂。
危险特性废物-腐蚀性	分类	化学	2	腐蚀性;pH;钢腐蚀;RCRA	满足以下任一条件即为腐蚀性危险废物：1) 水溶液pH≤2或≥12.5；2) 液体对钢的腐蚀速率>0.250英寸/年。
危险特性废物-反应性	分类	化学	4	反应性;爆炸;与水反应;氰化物;硫化物	满足以下任一条件即为反应性危险废物：1) 正常条件下不稳定且易发生剧烈变化；2) 与水剧烈反应或形成潜在爆炸性混合物；3) 与水混合产生有毒气体/蒸气/烟雾；4) 含氰化物或硫化物的废物，在pH 2-12.5条件下可能产生有毒气体；5) 在强起爆源或受限加热下可引爆或爆炸；6) 在标准条件下即可爆炸性分解。
混合物规则(Mixture Rule)	分类	化学	3	混合物规则;衍生规则;危废分类	如果特性危险废物与非危险废物混合且仍保留危险特性，混合物视为危险废物。如果非危险废物（如废油）被列入清单的危险废物污染，则全部废物按所列清单废物分类。废物衍生规则：从处理、储存或处置所列清单危险废物中产生的废物（污泥、溢出残留物、灰烬、排放控制粉尘或渗滤液）视为所列清单危险废物。
废有机溶剂管理	危废处置	化学	3	有机溶剂;卤代;非卤代;安全罐;燃料混合	废有机溶剂通常是F类危险废物。产生量>5加仑/月的实验室应将废物收集在安全罐中。安全罐必须清楚标注"危险废物"和溶剂成分。非卤代溶剂必须与卤代溶剂分开收集。非卤代溶剂例：丙酮、乙腈、乙醇、甲醛、乙酸乙酯、己烷、甲苯、二甲苯。卤代溶剂例：二氯甲烷、氯仿、四氯化碳、溴仿。严禁混入：强酸强碱、重金属、真空泵废油、硫化物/氰化物、强氧化剂/还原剂、遇水反应物、PCB废物、不明化学品。
浓酸浓碱溶液处置	危废处置	化学	3	酸;碱;中和;pH;腐蚀性	腐蚀性酸和碱是实验室常见的废物。腐蚀性废物若无其他危险特性，可由产生者中和至pH 5.5-9.5后排放（随后20倍水冲洗）。中和必须：在通风柜内安全屏后操作；穿戴实验服、手套、护目镜和面罩；将容器置于冰水浴中保持冷却；缓慢操作。铬酸、氢氟酸、高氯酸因毒性/反应性禁止中和，必须通过危废程序处置。
铬酸废物管理	危废处置	化学	4	铬酸;六价铬;致癌;氧化剂	铬酸是强氧化剂，有毒、腐蚀性，与有机物接触可爆炸。六价铬为致癌物。铬酸清洗液在玻璃表面残留六价铬难以去除。强烈推荐使用无铬替代品（如Nochromix、Alconox）。因反应性和毒性，严禁中和铬酸——必须通过危险废物管理程序处置。
氢氟酸(HF)废物管理	危废处置	化学	5	氢氟酸;剧毒;葡萄糖酸钙;穿透皮肤	氢氟酸为强腐蚀性和高毒性化学品。台面使用HF不被允许——只能在通风柜内操作。所有HF使用者必须联系健康中心并购买葡萄糖酸钙凝胶。储存和使用量应保持最小。HF能腐蚀玻璃，废物必须储存在塑料容器中。EHS建议向含HF废物中加入氢氧化钙以结合氟离子。严禁中和HF——必须通过危废程序处置。
高氯酸废物管理	危废处置	化学	5	高氯酸;强氧化剂;金属高氯酸盐;爆炸	高氯酸为强氧化剂和腐蚀性酸。高氯酸可与金属反应生成对冲击敏感的金属高氯酸盐——在普通通风柜中使用时可能发生。必须在专门的高氯酸通风柜中操作。因反应性严禁中和——必须通过危废程序处置。
含重金属水溶液处置	危废处置	化学	3	重金属;有毒;水溶液;RCRA	含重金属和/或其他RCRA管控有毒化学物质的水溶液必须通过危废管理程序处置。严禁将此类废物倒入下水道。
