序号,分类,子分类,问题,系统实际回答（复核人现场记录）,是否有效（是/否）,问题描述（若无效）,整改建议（若无效）
EV-001,化学,危化品安全,浓硫酸稀释的正确操作步骤是什么？,,,,
EV-002,化学,危化品安全,使用硝酸时需要注意哪些安全事项？,,,,
EV-003,化学,危化品安全,配制氢氧化钠溶液时需要注意什么？,,,,
EV-004,化学,危化品安全,使用乙醚时需要注意哪些安全事项？,,,,
EV-005,化学,危化品储存,实验室化学品应该如何分类储存？,,,,
EV-006,化学,危化品安全,使用丙酮时需要注意哪些安全事项？,,,,
EV-007,化学,危化品安全,过氧化氢能和有机溶剂混合吗？为什么？,,,,
EV-008,化学,危化品安全,使用甲醛溶液时需要注意哪些安全事项？,,,,
EV-009,化学,危化品安全,使用二氯甲烷做萃取时需要注意什么？,,,,
EV-010,化学,危化品储存,防火安全柜的使用要求有哪些？,,,,
EV-011,化学,气体安全,实验室气瓶使用的安全要求有哪些？,,,,
EV-012,化学,低温安全,使用液氮时需要注意什么安全事项？,,,,
EV-013,化学,应急,实验室发生大量化学品泄漏时应该怎么做？,,,,
EV-014,化学,应急,强酸或强碱溅到眼睛了应该怎么处理？,,,,
EV-015,化学,应急,有人化学品中毒了应该怎么急救？,,,,
EV-016,化学,危废处置,实验室化学废液应该怎么分类收集？,,,,
EV-017,化学,危废处置,用完的化学试剂空瓶可以当普通垃圾扔掉吗？,,,,
EV-018,化学,危废处置,实验室的过期化学品应该如何处理？,,,,
EV-019,化学,危废处置,含重金属的实验废液应该怎么处理？,,,,
EV-020,化学,危化品安全,使用甲醇时有哪些安全风险？应该如何防护？,,,,
EV-021,化学,危化品安全,氢氟酸（HF）为什么特别危险？接触后如何处理？,,,,
EV-022,化学,危化品安全,钠金属应该如何安全储存和处置？,,,,
EV-023,化学,应急,实验室突然停电应该怎么处理？,,,,
EV-024,化学,应急,水银温度计打破了应该怎么处理？,,,,
EV-025,设备安全,加热设备,使用烘箱烘干玻璃仪器时需要注意什么？,,,,
EV-026,设备安全,加热设备,使用马弗炉时需要注意哪些安全事项？,,,,
EV-027,设备安全,离心设备,使用离心机的安全操作规程是什么？,,,,
EV-028,设备安全,高压设备,高压灭菌锅的安全操作流程是什么？,,,,
EV-029,设备安全,电气设备,使用电泳仪时需要注意哪些安全事项？,,,,
EV-030,设备安全,通用设备,通风柜的正确使用方法是什么？,,,,
EV-031,设备安全,通用设备,使用真空泵时需要注意哪些安全事项？,,,,
EV-032,设备安全,分析仪器,使用高效液相色谱仪(HPLC)有哪些安全注意事项？,,,,
EV-033,设备安全,分析仪器,核磁共振波谱仪(NMR)使用前需要了解哪些安全知识？,,,,
EV-034,生物,生物安全,生物安全柜和超净工作台有什么区别？,,,,
EV-035,生物,危废处置,生物实验室的废弃物应该如何处置？,,,,
EV-036,生物,仪器安全,使用生物安全柜时需要注意哪些操作规范？,,,,
EV-037,电气,设备操作,高压电源如何上电？安全注意事项有哪些？,,,,
EV-038,电气,设备操作,示波器使用前需要检查什么？,,,,
EV-039,电气,应急,如果有人触电了，正确的急救步骤是什么？,,,,
EV-040,电气,违规操作,可以用湿手插拔电源插头吗？为什么？,,,,
EV-041,通用,PPE,进入化学实验室必须佩戴哪些个人防护装备？,,,,
EV-042,通用,PPE,不同类型的实验手套应该如何选择？,,,,
EV-043,通用,PPE,什么情况下需要佩戴呼吸防护设备？如何选择？,,,,
EV-044,通用,消防,实验室发生火灾时正确的处置流程是什么？,,,,
EV-045,通用,消防,实验室不同类型的火灾应该使用什么灭火器？,,,,
EV-046,通用,应急,洗眼器和安全淋浴应该怎么使用？,,,,
EV-047,通用,安全制度,进入实验室工作之前需要满足什么条件？,,,,
EV-048,通用,安全制度,实验室有哪些常见的禁止行为？,,,,
EV-049,通用,安全制度,实验室常见的安全标识有哪些类别？,,,,
EV-050,通用,安全制度,化学实验室每天下班前必须检查什么？,,,,
