id,title,old_url,new_url,old_source_title,new_source_title,old_source_org,new_source_org,reason
WEB-009-001,实验室危险废弃物安全处置管理办法,https://sbc.cug.edu.cn/info/1013/1172.htm,https://sbc.cug.edu.cn/info/1234/3228.htm,实验室危险废弃物安全处置管理办法,实验室危险废弃物安全处置管理办法,中国地质大学（武汉）实验室与设备管理处,中国地质大学（武汉）实验室与设备管理处,China University of Geosciences laboratory hazardous waste rules moved to the current lab safety management section.
WEB-009-002,实验室危险废弃物安全处置管理办法（片段2）,https://sbc.cug.edu.cn/info/1013/1172.htm,https://sbc.cug.edu.cn/info/1234/3228.htm,实验室危险废弃物安全处置管理办法,实验室危险废弃物安全处置管理办法,中国地质大学（武汉）实验室与设备管理处,中国地质大学（武汉）实验室与设备管理处,China University of Geosciences laboratory hazardous waste rules moved to the current lab safety management section.
WEBX-039-001,化学实验室气瓶、化学品和消防安全要点,https://ccce.csu.edu.cn/info/1591/7436.htm,https://ccce.csu.edu.cn/info/1591/7436.htm,实验室安全知识-化学化工学院门户网站,实验室安全知识-化学化工学院门户网站,中南大学化学化工学院,中南大学化学化工学院,The URL opens with a browser user agent; repaired mojibake extracted content into a concise structured Chinese answer.
WEB82-026-001,HSE Biosafety Infection,https://www.hse.gov.uk/biosafety/infection.htm,https://www.hse.gov.uk/biosafety/,HSE Biosafety Infection,Infections and biological hazards at work,HSE UK,HSE UK,HSE infection page moved into the current infections and biological hazards at work hub.
KB-RECO-0071,离子色谱样品过滤与前处理安全操作规程,https://www.metrohm.com/en/products/ion-chatography/usp-monographs-using-ion-chromatography.html,https://www.metrohm.com/en/products/ion-chromatography/usp-monographs-using-ion-chromatography.html,Metrohm IC - Sample Preparation Safety,Metrohm IC - Sample Preparation Safety,Metrohm AG,Metrohm AG,Metrohm URL contained a chromatography spelling error.
KB-RECO-0178,X射线衍射仪(XRD)安全防护要求,https://www.fda.gov/radiation-emitting-products,https://www.law.cornell.edu/cfr/text/21/1020.40,FDA/CDRH Laser and X-ray Device Safety,21 CFR 1020.40 - Cabinet x-ray systems,U.S. Food and Drug Administration (FDA),Legal Information Institute / e-CFR,Generic FDA radiation-emitting products entry was blocked in automated audit; replaced with an accessible 21 CFR 1020.40 text supporting the XRD/X-ray safety row.
KB-RECO-0283,Stony Brook大学通风橱使用安全规程,https://ehs.stonybrook.edu/resources/our-policies/Laboratory%20Hood%20Safety.pdf,https://ehs.stonybrook.edu/_pdfs/EHS_Policy_4.5_Laboratory_Chemical_Fume_Hood_Safety_Program.pdf,Stony Brook University Laboratory Hood Safety,Stony Brook University Laboratory Chemical Fume Hood Safety Program,Stony Brook University,Stony Brook University Environmental Health and Safety,Stony Brook EHS fume hood safety policy PDF moved to the current EHS PDF path.
KB-RECO-0336,GB 19489-2008：风险评估与风险控制要求,https://kjt.hubei.gov.cn/sydw/portal/kjdt/detail?id=2ac1a9c1-aafb-48ca-8b20-3b5b98ec4e6d,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,GB 19489-2008 实验室生物安全通用要求,GB 19489-2008 实验室生物安全通用要求,国家市场监督管理总局(SAMR),国家标准全文公开系统,Replaced provincial mirror returning HTTP 412 with the official national standard full-text disclosure page.
KB-RECO-0337,GB 19489-2008：实验室生物安全防护水平分级,https://kjt.hubei.gov.cn/sydw/portal/kjdt/detail?id=2ac1a9c1-aafb-48ca-8b20-3b5b98ec4e6d,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,GB 19489-2008 实验室生物安全通用要求,GB 19489-2008 实验室生物安全通用要求,国家市场监督管理总局(SAMR),国家标准全文公开系统,Replaced provincial mirror returning HTTP 412 with the official national standard full-text disclosure page.
KB-RECO-0338,GB 19489-2008：BSL-1实验室设施和设备要求,https://kjt.hubei.gov.cn/sydw/portal/kjdt/detail?id=2ac1a9c1-aafb-48ca-8b20-3b5b98ec4e6d,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,GB 19489-2008 实验室生物安全通用要求,GB 19489-2008 实验室生物安全通用要求,国家市场监督管理总局(SAMR),国家标准全文公开系统,Replaced provincial mirror returning HTTP 412 with the official national standard full-text disclosure page.
