pack_id,source_run,source_type,eval_id,category,subcategory,question,answer,decision,model,elapsed_ms,expected_lane,expected_action,expected_keywords,risk_level,conversation_group,turn_no,citation_0_title,citation_1_title,citation_2_title,human_score,human_notes,review_status,priority,expert_score,expert_notes,final_score,final_notes
ACC-0001,eval_50_human_scored,historical_scored,EV-001,化学,危化品安全,浓硫酸稀释的正确操作步骤是什么？,浓硫酸稀释必须将酸缓慢加入水中，并不断搅拌冷却，严禁水倒入酸中。佩戴护目镜、实验服和耐酸手套，在通风处操作。,dify_answer_guarded,dify-workflow,7283,,,硫酸;稀释;通风柜;缓慢加入;搅拌,,,,危化品-硫酸安全使用,应急-触电急救,危化品-浓硫酸使用,3,核心操作'酸入水'明确，PPE和禁止事项完整，引用质量高,scored,P2,,,3,核心操作'酸入水'明确，PPE和禁止事项完整，引用质量高
ACC-0002,eval_50_human_scored,historical_scored,EV-002,化学,危化品安全,使用硝酸时需要注意哪些安全事项？,使用硝酸必须佩戴护目镜、防酸碱手套和实验服，在通风柜内操作。避免接触有机物和还原剂，防止剧烈反应。酸液洒出时隔离现场，佩戴PPE，通风并报告。皮肤接触立即大量清水冲洗，脱去污染物，尽快就医。,dify_answer_guarded,dify-workflow,11163,,,硝酸;强氧化剂;通风柜;防酸手套;远离易燃物,,,,危化品-硝酸安全使用,危化品-盐酸安全使用,危化品-甲苯储存与使用,3,PPE、通风、溢漏处理、急救均覆盖，明确提及远离有机物和还原剂,scored,P2,,,3,PPE、通风、溢漏处理、急救均覆盖，明确提及远离有机物和还原剂
ACC-0003,eval_50_human_scored,historical_scored,EV-003,化学,危化品安全,配制氢氧化钠溶液时需要注意什么？,配制氢氧化钠溶液须佩戴护目镜、实验服、手套。缓慢将碱加入水中搅拌，防止飞溅与放热失控；严禁逆向操作（水入碱）。在通风处进行，使用耐碱容器。,dify_answer,dify-workflow,6704,,,氢氧化钠;放热;冷水浴;缓慢加入;溅出,,,,危化品-氢氧化钠安全使用,危化品-二氯甲烷安全使用,安全-手套箱内操作安全,3,核心安全原则清晰（碱入水、防飞溅），PPE和禁止操作完整,scored,P2,,,3,核心安全原则清晰（碱入水、防飞溅），PPE和禁止操作完整
ACC-0004,eval_50_human_scored,historical_scored,EV-004,化学,危化品安全,使用乙醚时需要注意哪些安全事项？,乙醚易燃、易挥发、可形成爆炸性过氧化物。使用前检查过氧化物，开瓶后尽快用完。须在通风柜内操作，远离明火、热源。佩戴护目镜、实验服、防化手套。,dify_answer_guarded,dify-workflow,7708,,,乙醚;易燃;过氧化物;通风柜;防火柜,,,,危化品-乙醚安全使用,危化品-乙腈安全使用,危化品-甲苯储存与使用,3,过氧化物检测、易燃性、通风要求均覆盖，针对性好,scored,P2,,,3,过氧化物检测、易燃性、通风要求均覆盖，针对性好
ACC-0005,eval_50_human_scored,historical_scored,EV-005,化学,危化品储存,实验室化学品应该如何分类储存？,实验室化学品应依相容性分区存放：氧化剂与还原剂、酸与碱分开。易燃品存于防火柜；腐蚀品用防腐柜。所有容器密闭、贴标签（名称、浓度、危险性、日期、责任人）。禁止不相容物混存，避免反应风险。,dify_answer,dify-workflow,5326,,,分类储存;不相容;氧化剂;易燃品;酸与碱隔离,,,,危化品-化学品分类储存原则,危废-过期化学品处置,实验室化学品安全管理实施细则（片段5）,3,分类储存原则全面，不相容矩阵概念清楚，标签要求完整,scored,P2,,,3,分类储存原则全面，不相容矩阵概念清楚，标签要求完整
ACC-0006,eval_50_human_scored,historical_scored,EV-006,化学,危化品安全,使用丙酮时需要注意哪些安全事项？,丙酮易燃易挥发，须在通风柜内使用，远离火源，做好防护，废液分类入有机废液桶，禁止下水道。1.确认通风柜前窗高度适当，风速正常。2.佩戴护目镜、实验服和防有机手套。3.远离热源明火，容器密闭。4.废液入有机废液桶，禁止下水道。,dify_answer_guarded,dify-workflow,18487,,,丙酮;易燃;通风柜;防火柜;防静电,,,,危化品-丙酮安全使用,危化品-甲苯储存与使用,危化品-硝酸安全使用,3,操作步骤具体，废液处置、通风柜使用规范，覆盖所有关键点,scored,P2,,,3,操作步骤具体，废液处置、通风柜使用规范，覆盖所有关键点
ACC-0007,eval_50_human_scored,historical_scored,EV-007,化学,危化品安全,过氧化氢能和有机溶剂混合吗？为什么？,不能。过氧化氢是强氧化剂，与有机溶剂混合会发生剧烈氧化反应，瞬间放热产气，可能引发爆炸或火灾。必须分开存放，远离还原剂和可燃物。操作时应戴护目镜和手套。,dify_answer_guarded,dify-workflow,17864,,,过氧化氢;强氧化剂;禁止混合;爆炸;有机物,,,,危险混合-过氧化氢与有机溶剂,危化品-过氧化氢安全使用,废液处置-有机溶剂,3,明确否定并给出科学理由（氧化反应→放热产气→爆炸），回答精准,scored,P2,,,3,明确否定并给出科学理由（氧化反应→放热产气→爆炸），回答精准
ACC-0008,eval_50_human_scored,historical_scored,EV-008,化学,危化品安全,使用甲醛溶液时需要注意哪些安全事项？,"结论:
甲醛溶液（福尔马林）具有致癌性（IARC Group 1），对眼睛、皮肤和呼吸道有强烈刺激。

步骤:
1. 全程在通风柜内操作，确认前窗高度、风速报警和容器密闭状态正常
2. 佩戴护目镜、实验服和合适防化手套，避免吸入蒸气和皮肤接触
3. 孕妇或计划怀孕人员应先做岗位暴露评估，废液按危废分类收集并清晰标识

禁止事项:
- 禁止在通风柜外长时间开盖、转移或配制甲醛溶液
- 禁止忽视甲醛致癌/致敏风险而仅按普通刺激性试剂处理
- 禁止将甲醛废液倒入下水道或与普通生活垃圾混放

应急提醒:
- 泄漏：通风，用惰性吸收材料收集
- 大量泄漏：撤离并通知专业人员

参考依据:
- KB-MSDS-2008: IARC Monographs on Formaldehyde; SDS-甲醛溶液
- 相关命中 3 条，可展开引用查看原始依据。",dify_answer,local-fast-path,10756,,,甲醛;致癌;通风柜;孕妇;IARC,,,,危化品-甲醛安全使用,危化品-甲苯储存与使用,设备-电泳仪安全使用,2,操作规范正确但未提及致癌性和孕妇禁忌，缺少关键WHY信息,resolved_round4,P2,3,"第四轮复评：本地快答已补齐关键知识点并稳定命中（decision=dify_answer, model=local-fast-path）。",3,"第四轮复评：本地快答已补齐关键知识点并稳定命中（decision=dify_answer, model=local-fast-path）。"
ACC-0009,eval_50_human_scored,historical_scored,EV-009,化学,危化品安全,使用二氯甲烷做萃取时需要注意什么？,"结论:
二氯甲烷（DCM）是IARC 2A类可能致癌物，挥发性强，吸入后代谢产生一氧化碳可导致中毒。

步骤:
1. 所有开盖、转移和萃取操作都在通风柜内完成，避免在柜外短时暴露
2. 优先选用对卤代溶剂更合适的手套方案，长时间接触不要只依赖普通薄丁腈手套
3. 废液收入卤代废液桶或卤代有机废液桶，不与非卤代有机废液混装

禁止事项:
- 禁止在通风柜外使用或闻气味判断暴露是否严重
- 禁止长期接触时只依赖普通薄丁腈手套而不更换/升级防护
- 禁止把二氯甲烷废液混入非卤代有机废液桶

应急提醒:
- 泄漏：通风，用惰性材料吸收
- 大量泄漏：撤离并报告

参考依据:
- KB-MSDS-2009: NIH Working Safely with Dichloromethane
- 相关命中 3 条，可展开引用查看原始依据。",dify_answer,local-fast-path,5409,,,二氯甲烷;致癌;通风柜;丁腈手套;卤代废液,,,,危化品-二氯甲烷安全使用,低温安全-液氮操作规范,设备安全-高压灭菌锅操作,2,操作层面正确但未指明DCM的IARC 2A致癌性及丁腈手套特殊性,resolved_round4,P2,3,"第四轮复评：本地快答已补齐关键知识点并稳定命中（decision=dify_answer, model=local-fast-path）。",3,"第四轮复评：本地快答已补齐关键知识点并稳定命中（decision=dify_answer, model=local-fast-path）。"
ACC-0010,eval_50_human_scored,historical_scored,EV-010,化学,危化品储存,防火安全柜的使用要求有哪些？,防火安全柜应远离火源热源，柜体可靠接地，保持常闭锁。易燃溶剂限存量，分类存放禁混放，化学品须贴好标签。定期检查柜体与通风，发现锈蚀即报修，附近备灭火器。,dify_answer,dify-workflow,4771,,,防火柜;易燃液体;接地;通风口;门保持关闭,,,,危化品-易燃品防火柜管理,危化品-气瓶安全使用通则,实验室安全的基本要求,3,防火柜接地、常闭、限存量、禁混放等要点全面，实用性强,scored,P2,,,3,防火柜接地、常闭、限存量、禁混放等要点全面，实用性强
