hazard,question,rule_id,rule_action,terminal,out_of_scope,oos_reason,top_score,top_kb_id,top_title
意识/呼吸/心跳,同学倒在地上没反应,R-030,redirect_emergency,yes,no,,7.1,KB-BLK-9076,实验室电缆管理——线缆不是随便铺在地上的
意识/呼吸/心跳,同事昏迷不醒,R-030,redirect_emergency,yes,no,,2.3,KB-GAP-8036,实验室发生有毒气体泄漏应该怎么处理？
意识/呼吸/心跳,有人晕倒了怎么办,R-030,redirect_emergency,yes,no,,14.6,KB-BLK-9007,锂电池热失控——必须知道它会爆炸
意识/呼吸/心跳,同学突然摔倒不省人事,R-030,redirect_emergency,yes,no,,4.6,KB-BLK-9633010053,实验室内有人突然昏倒的处理
意识/呼吸/心跳,有人失去意识,R-030,redirect_emergency,yes,no,,11.3,KB-EQUIP2-0007,低温材料(液氮/液氦/干冰)安全操作规范
意识/呼吸/心跳,他没有呼吸了,R-030,redirect_emergency,yes,no,,7.1,KB-BLK-9633010053,实验室内有人突然昏倒的处理
意识/呼吸/心跳,同事叫不醒,R-030,redirect_emergency,yes,no,,1.65,KB-PHASE4-0084,实验室内个人行为规范与安全文化
意识/呼吸/心跳,有人瘫倒在通风柜前,R-032,redirect_emergency,yes,no,,22.1,KB-CORNELL-11037,通风柜工作人体工学
意识/呼吸/心跳,实验室有人抽搐,R-030,redirect_emergency,yes,no,,14.6,KB-RECO-0083,实验室有毒气体安全使用与泄漏应急处置规程
意识/呼吸/心跳,同学脸色发紫喘不上气,R-032,redirect_emergency,yes,no,,2.3,KB-BLK-9633010053,实验室内有人突然昏倒的处理
意识/呼吸/心跳,有人口吐白沫,R-032,redirect_emergency,yes,no,,2.3,KB-ELEC-6001,应急-触电急救
意识/呼吸/心跳,师兄突然坐地上说眼前发黑,R-032,redirect_emergency,yes,no,,2.3,KB-BLK-9076,实验室电缆管理——线缆不是随便铺在地上的
意识/呼吸/心跳,有人心跳停了,R-032,redirect_emergency,yes,no,,3.47,KB-ELEC-6001,应急-触电急救
意识/呼吸/心跳,同学趴在桌上怎么喊都没回应,R-032,redirect_emergency,yes,no,,4.6,KB-BLK-9633010053,实验室内有人突然昏倒的处理
出血/锐器外伤,手上被玻璃划破了在流血,R-019,redirect_emergency,yes,no,,3.62,KB-BLK-9148,未遂事件(Near Miss)报告制度——免费的安全课程
出血/锐器外伤,玻璃碎片扎进手里拔不出来,R-032,redirect_emergency,yes,no,,11.15,KB-GAP-8015,实验室什么情况下需要戴防割手套？
出血/锐器外伤,同学手指被切断了,R-032,redirect_emergency,yes,no,,9.4,KB-GAP-8033,使用XRD时如何确保辐射安全？
出血/锐器外伤,伤口一直止不住血,R-032,redirect_emergency,yes,no,,2.3,KB-GAP-8031,被沾有血液或体液的针头刺伤后应该怎么办？
出血/锐器外伤,被安瓿瓶割到动脉了,R-032,redirect_emergency,yes,no,,1.17,KB-BLK-9135,氢氟酸(HF)——最危险的酸暴露，急救是与时间赛跑
出血/锐器外伤,手被刀片划开很深,R-032,redirect_emergency,yes,no,,2.3,KB-GAP-8015,实验室什么情况下需要戴防割手套？
出血/锐器外伤,同学头磕破了在出血,R-019,redirect_emergency,yes,no,,2.3,KB-GAP-8033,使用XRD时如何确保辐射安全？
出血/锐器外伤,注射器针头扎到手了,R-032,redirect_emergency,yes,no,,22.1,KB-GAP-8015,实验室什么情况下需要戴防割手套？
