处方安全眼镜要求	通用	PPE	2	眼部伤害;化学品飞溅	OSHA规定，佩戴处方眼镜从事眼部危险操作的人员，必须使用将处方集成到防护设计中的眼部防护装备，或佩戴可覆盖处方眼镜的防护装备（如护目镜或面罩），且不得干扰处方镜片或防护镜片的正确位置。处方安全眼镜必须符合ANSI Z87.1标准。注意：隐形眼镜不被视为防护眼镜，不能提供眼部防护。	佩戴处方眼镜的实验人员如何满足眼部防护要求？
安全眼镜的防护范围与局限性	通用	PPE	2	眼部伤害;飞溅;冲击	安全眼镜可防护中等冲击和飞溅颗粒（如研磨、锯切、处理碎玻璃、轻微化学飞溅）。侧面防护在有飞溅物危险的场合必不可少。安全眼镜有处方版本。但安全眼镜单独使用不足以防护大量化学飞溅（如倾倒、混合或转移危险化学品）——此时必须使用防溅护目镜。	安全眼镜能防护哪些危害？什么时候不够用？
防溅护目镜的选择和使用	通用	PPE	3	化学品飞溅;腐蚀性	防溅护目镜可防护化学飞溅危险，包括浓腐蚀品操作和散装化学品转移。护目镜有透明/有色镜片、防雾涂层、通风/非通风框架可选。注意：木工或防尘护目镜不适合化学品使用——可通过面罩上大量小开口识别，这些开口可能让液体进入。务必确认护目镜明确标注适用于化学飞溅防护。	操作腐蚀性或危险化学品时应选择哪种护目镜？
面罩的使用要求与限制	通用	PPE	3	眼部伤害;面部伤害;化学品飞溅	面罩在与安全眼镜或防溅护目镜配合使用时，为眼部和面部提供额外防护。面罩配有可调头带和透明/有色面屏（或金属网屏）。关键限制：面罩不得单独使用，不能替代主要眼部防护。必须始终与安全眼镜或护目镜配合佩戴。金属网面罩不适用于化学品危险防护。	面罩可以单独作为眼部防护吗？如何正确使用？
激光眼部防护	通用	PPE	3	激光;眼部伤害;辐射	单一类型的眼镜不能防护所有激光危害。所需眼部防护取决于激光源的波长和能量。请联系激光安全官（Laser Safety Officer）协助选择适当的激光眼部防护。Cornell EHS激光安全联系：askEHS@cornell.edu。	激光操作需要什么类型的眼部防护？如何选择？
织物手套和皮革手套的限制	通用	PPE	2	手部防护;化学品	织物手套（棉或混纺）一般用于改善抓握滑腻物品时的握力，也可隔热轻度热冷。但织物手套不适合化学品操作，因为织物可吸收化学物质并将其保持在皮肤上，导致化学暴露。皮革手套用于防护火花、粗糙表面刮擦或尖锐物品（如碎玻璃）割伤，也可与绝缘内衬配合用于电气作业。但皮革同样不适合化学品操作——皮革可吸收并保持化学品在皮肤上。	为什么织物手套和皮革手套不适用于化学品操作？
低温手套的使用	通用	PPE	2	低温;手部防护	低温手套用于防护手部免受极端低温伤害。处理干冰时以及灌装或操作液氮和其他低温液体时必须使用低温手套。注意：低温手套不能替代防化手套——如需同时防护低温和化学品，需选择兼具两种特性的手套。	处理干冰和液氮时需要什么类型的手套？
防化手套材料选择指南	通用	PPE	4	化学品;手部防护;皮肤吸收	防化手套材料种类繁多。以下建议基于偶发性接触——一旦化学品接触戴手套的手，应尽快摘除并更换手套。一般准则：天然乳胶——耐酮类、醇类、碱和有机酸；氯丁橡胶(Neoprene)——耐无机酸、有机酸、碱、醇和石油溶剂；丁腈(Nitrile)——耐醇类、碱、有机酸和部分酮类；Norfoil/Silver Shield——适用于高毒性、易皮肤吸收的化学品但不适用于氯仿；PVC——耐无机酸、碱、有机酸和醇类；PVA——耐氯代溶剂、石油溶剂和芳香烃。选择防化手套前应查阅手套制造商建议或手套选择表，或联系EHS。	不同防化手套材料各适用于什么化学品？如何选择？
乳胶手套的限制和使用场景	通用	PPE	3	乳胶过敏;化学品;手部防护	不鼓励使用乳胶手套（尤其薄型一次性检查手套）处理化学品，因为乳胶对常用化学品防护能力极低。乳胶手套在接触常见实验室化学品后可在数分钟至数秒内严重降解。乳胶手套还可导致部分人群发生过敏反应。乳胶手套仅适用于：大多数生物材料、非危险化学品、洁净室要求、医疗或兽医应用、极稀水溶液。如必须使用乳胶手套应接受乳胶健康影响培训。丁腈一次性手套是良好的通用替代品。	为什么乳胶手套不适合一般化学品操作？什么情况下可以使用？
实验室标准操作规程SOP要求	通用	安全制度	2	管理制度;培训;文件	标准操作规程（SOP）是实验室安全的核心要素，OSHA实验室标准（29 CFR 1910.1450）要求SOP作为化学卫生计划的组成部分。SOP记录工作如何执行，识别降低危险化学品或危险操作风险所需的安全考虑。SOP至少应包含：涉及的化学品/材料/设备及其危险；任务特定或非例行危险；所需工程控制（如通风柜、屏蔽、联锁）；所需PPE；泄漏或事故应对措施；废物处理和处置程序；去污或关闭程序。PI和实验室主管负责确保SOP的制定，EHS提供指导但不代为生成。	实验室SOP需要包含哪些内容？什么时候必须写SOP？
