# --- 设备安全 (NCBI Prudent Practices Ch.7) ---
水冷设备安全操作	设备安全	水冷设备	2	水灾;电气;地滑	使用水作为冷却剂是常见做法，但应尽量避免使用自来水。推荐使用冷冻循环器来替代自来水冷却，既节约用水又可最大限度减少水灾。防止冷凝管冻结：使用水和乙二醇混合物作为冷却液。此混合物泄漏非常滑，必须彻底清洁以防止滑倒和摔倒。大多数水灾发生在连接冷凝器的供水管断开时。使用适当的软管夹和整个冷却系统的维护可解决此问题。塑料锁定快速接头方便拆卸水管而不必松开和重新夹紧。
实验室电气设备安全通则	设备安全	电气设备	3	电击;火灾;易燃	电驱动设备广泛用于加热、冷却、搅拌、混合和泵送。主要电气危害是电击：10mA电流有一定危险，80-100mA可致命。电气设备使用不当还可能引燃易燃或易爆蒸气。所有电气设备必须按国家电气规范(NEC)安装和维护。设备必须由合格人员进行维修和校准，维修前必须断电并确认所有电容器已放电。新设备应检查是否有UL/CSA/ETL/CE认证标志。所有实验室电气设备应接地（双绝缘设备除外）。禁止使用"三转二"转换插头。延长线仅限于临时(<1天)使用，必须使用三芯、有独立接地连接、额定功率足够的延长线。
真空泵安全操作	设备安全	真空泵	3	化学污染;油雾;机械伤害	不鼓励使用水抽吸器：用于挥发性有机溶剂过滤或溶剂去除时，挥发性化学品会污染废水。蒸馏或类似需要真空的操作必须使用冷阱保护真空源、人员和环境。机械真空泵的排气应排至适当的空气排气系统。当泵用于抽空含挥发性有毒或腐蚀性物质的系统时，此步骤尤为关键。泵油被污染后应视为危险废物处理。皮带驱动的机械泵必须有防护罩。泵应附有使用记录以防止交叉污染或反应性化学物质不相容问题。
实验室冰箱和冰柜安全	设备安全	冰箱冰柜	3	易燃蒸气;电气火花;化学品泄漏	实验室冰箱的潜在危害：内容物释放蒸气、可能存在不相容化学品、溢出。应放在防火墙上并配备重型电源线和独立断路器。内容物应装入不易破碎的二次容器中。用于存放易燃化学品的冰箱必须是防爆型（有UL或FM认证）且有硬接线。无霜冰箱不适于实验室使用，因为排水管可能将易燃物质引向压缩区。改装型防火花冰箱必须有：拆除内部灯和门框开关、恒温器触点移出冷藏室外。严禁将敞口化学品容器放入冰箱。容器盖子提供气密密封以防止倾倒时溢出。
搅拌和混合设备安全	设备安全	搅拌设备	2	电气火花;机械伤害;过热	实验室常用的搅拌和混合设备：搅拌电机、磁力搅拌器、摇床、旋转蒸发仪。必须使用无火花感应电机。开关和变阻调速控制器可产生电火花，建议将开关改装到靠近插头的线上（因为插座应在通风柜外）。不要在负载下使用调压器控制感应电机速度。搅拌叶轮应通过轻质橡胶管连接到电机轴——如果叶轮被卡住，橡胶管会扭转脱离。长时间无人值守的搅拌电机应安装适当保险丝或热保护装置。
烘箱安全操作	设备安全	烘箱	3	爆炸;易燃蒸气;汞暴露	实验室烘箱用于去除水或溶剂和干燥玻璃器皿。严禁用于制备人类食品。烘箱的加热元件和温度控制器必须与内部气氛物理隔离。普通家用烘箱不应用于实验室。除非真空干燥烘箱，否则实验室烘箱很少能防止挥发物排入实验室空气——可将烘箱排气口直接连接到排气系统。严禁在传统不通风烘箱中干燥有中等挥发性或毒性的化学样品。避免爆炸：用有机溶剂冲洗过的玻璃器皿在放入烘箱前必须再用蒸馏水冲洗。推荐使用双金属片温度计监测烘箱温度。严禁将汞温度计通过烘箱顶部孔插挂使用。若汞温度计在烘箱内破裂：立即关闭烘箱、保持密闭直至冷却、用适当清洁程序清除所有汞、监测汞蒸气浓度低于阈限值后方可再加热使用。
热板安全操作	设备安全	热板	3	电气火花;易燃蒸气;过热	当溶液需加热到100°C以上且不能使用更安全的蒸汽浴时使用热板。只使用有完全封闭加热元件的热板。许多老式热板因开关或双金属恒温器产生电火花而存在隐患。这些火花源位于热板下部——从沸腾液体挥发出的重于空气的易燃蒸气可能在此积聚。在搅拌/加热一体机上，搅拌和温度控制旋钮容易混淆——必须小心分辨其功能。误将温度调高而非搅拌速度可能导致火灾或爆炸。
加热套安全操作	设备安全	加热套	2	过热;电击;熔融	加热套用于加热圆底烧瓶、反应釜和相关反应容器。加热元件包裹在玻璃纤维布层中。只要纤维涂层未磨损或破损，且无水或其他化学品溅入，加热套的电击风险极小。必须使用调压器控制输入电压，严禁直接插入110V线路。超过制造商推荐的输入电压会导致过热、熔化玻璃纤维绝缘层并暴露裸加热元件。金属外壳包裹的加热套应将外壳接地。推荐将加热套放在实验室升降台上，用夹子固定容器在单独的铁架台上——这样可以在过热或放热反应时快速移除热源。
油浴盐浴砂浴安全	设备安全	加热浴	3	烫伤;火灾;油雾	使用油浴、盐浴或砂浴时务必小心，不可将水和其他挥发性物质溅入浴中——这种事故可将热物质溅洒到广阔区域并造成严重伤害。200°C以下使用饱和石蜡油；300°C以下使用硅油。热油浴必须防止冒烟或因过热起火——始终用温度计监控使其不超过油的闪点。油浴应通过封闭加热元件加热（如刀式加热器、管式浸没加热器）。油浴必须充分搅拌以确保加热元件周围无热点。用金属盘或厚壁瓷碟盛装热油——Pyrex烧杯若被硬物撞击可能破裂。熔盐浴（200-425°C）需注意防潮——盐浴有吸湿性，水蒸气急剧气化可引起危险的飞溅。
热风枪安全操作	设备安全	热风枪	4	红热元件;电火花;易燃蒸气	实验室热风枪由电机驱动风扇吹过电热丝。加热元件在使用中通常会变红热且不能被封闭，开关和风扇电机通常不防爆。热风枪将实验室空气吸入并吹过红热加热元件，增加了引燃风险。因此，热风枪几乎总是构成严重火花危险。严禁在敞口易燃液体容器附近、可能存在明显易燃蒸气浓度的环境中或用于排除易燃蒸气的通风柜内使用热风枪。家用吹风机只有在具有三芯线并配备GFCI时才可替代实验室热风枪使用。
