pack_id,source_run,source_type,eval_id,category,subcategory,question,answer,decision,model,elapsed_ms,expected_lane,expected_action,expected_keywords,risk_level,conversation_group,turn_no,citation_0_title,citation_1_title,citation_2_title,human_score,human_notes,review_status,priority,expert_score,expert_notes,final_score,final_notes,recheck_http_status,recheck_decision,recheck_model,recheck_rule_id,recheck_rule_action,recheck_citation_0,recheck_citation_1,recheck_citation_2,recheck_answer,recheck_keywords_hit,recheck_notes
ACC-0008,eval_50_human_scored,historical_scored,EV-008,化学,危化品安全,使用甲醛溶液时需要注意哪些安全事项？,操作须在通风柜中进行，确保前窗高度适宜、风速正常。戴护目镜、实验服与耐化学品手套。甲醛废液应分类入有机废液桶，禁止下水道。容器密闭贴标签，注明名称、浓度、危险性、日期及责任人。,dify_answer,dify-workflow,10756,,,甲醛;致癌;通风柜;孕妇;IARC,,,,危化品-甲醛安全使用,危化品-甲苯储存与使用,设备-电泳仪安全使用,2,操作规范正确但未提及致癌性和孕妇禁忌，缺少关键WHY信息,scored,P0,,,2,操作规范正确但未提及致癌性和孕妇禁忌，缺少关键WHY信息,200,dify_answer,local-fast-path,,,KB-MSDS-2008,KB-PHASE4-0282,KB-PHASE4-0281,"结论:
甲醛溶液（福尔马林）具有致癌性（IARC Group 1），对眼睛、皮肤和呼吸道有强烈刺激。

步骤:
1. 全程在通风柜内操作，确认前窗高度、风速报警和容器密闭状态正常
2. 佩戴护目镜、实验服和合适防化手套，避免吸入蒸气和皮肤接触
3. 孕妇或计划怀孕人员应先做岗位暴露评估，废液按危废分类收集并清晰标识

禁止事项:
- 禁止在通风柜外长时间开盖、转移或配制甲醛溶液
- 禁止忽视甲醛致癌/致敏风险而仅按普通刺激性试剂处理
- 禁止将甲醛废液倒入下水道或与普通生活垃圾混放

应急提醒:
- 泄漏：通风，用惰性吸收材料收集
- 大量泄漏：撤离并通知专业人员

参考依据:
- KB-MSDS-2008: IARC Monographs on Formaldehyde; SDS-甲醛溶液
- 相关命中 3 条，可展开引用查看原始依据。",甲醛;致癌;通风柜;孕妇;IARC,
ACC-0009,eval_50_human_scored,historical_scored,EV-009,化学,危化品安全,使用二氯甲烷做萃取时需要注意什么？,使用二氯甲烷须在通风柜内操作，确认前窗高度合适、风速正常。全程佩戴护目镜、实验服和防化手套。废液分类入有机废液桶，禁止下水道。,dify_answer,dify-workflow,5409,,,二氯甲烷;致癌;通风柜;丁腈手套;卤代废液,,,,危化品-二氯甲烷安全使用,低温安全-液氮操作规范,设备安全-高压灭菌锅操作,2,操作层面正确但未指明DCM的IARC 2A致癌性及丁腈手套特殊性,scored,P0,,,2,操作层面正确但未指明DCM的IARC 2A致癌性及丁腈手套特殊性,200,dify_answer,local-fast-path,,,KB-MSDS-2009,KB-PHASE4-0332,KB-RECO-0423,"结论:
二氯甲烷（DCM）是IARC 2A类可能致癌物，挥发性强，吸入后代谢产生一氧化碳可导致中毒。

步骤:
1. 所有开盖、转移和萃取操作都在通风柜内完成，避免在柜外短时暴露
2. 优先选用对卤代溶剂更合适的手套方案，长时间接触不要只依赖普通薄丁腈手套
3. 废液收入卤代废液桶或卤代有机废液桶，不与非卤代有机废液混装

禁止事项:
- 禁止在通风柜外使用或闻气味判断暴露是否严重
- 禁止长期接触时只依赖普通薄丁腈手套而不更换/升级防护
- 禁止把二氯甲烷废液混入非卤代有机废液桶

应急提醒:
- 泄漏：通风，用惰性材料吸收
- 大量泄漏：撤离并报告

参考依据:
- KB-MSDS-2009: NIH Working Safely with Dichloromethane
- 相关命中 3 条，可展开引用查看原始依据。",二氯甲烷;致癌;通风柜;丁腈手套;卤代废液,
ACC-0013,eval_50_human_scored,historical_scored,EV-013,化学,应急,实验室发生大量化学品泄漏时应该怎么做？,"结论:
若发生化学品泄漏：隔离现场、避免接触和吸入，在安全前提下通风并使用泄漏应急物资处理，立即报告实验室管理人员。

步骤:
1. 立即停止当前操作并隔离危险源。
2. 第一时间通知实验室负责人和安全联系人。
3. 按本单位 SOP 执行现场控制、上报和记录。

禁止事项:
- 禁止继续开展当前高风险操作。
- 禁止绕过通风、审批、联锁或 PPE 要求。

应急升级:
- 如存在受伤、起火、泄漏或暴露风险，立即启动应急预案。

参考依据:
- KB-MSDS-2019: 高等学校实验室安全规范（教育部2024）; 危险化学品安全管理条例
- KB-GEN-7127: 高等学校实验室安全规范（教育部2024）
- KB-1052: 高等学校实验室安全规范",emergency_redirect,rule-engine,43,,,泄漏;疏散;围堵;吸收;SDS,,,,应急-化学品大量泄漏处置,应急-地震时实验室应急,未知化学品泄漏时先做什么,2,模板化应急回复，方向正确但缺少化学品泄漏的分级响应（一级/二级/三级）,scored,P0,,,2,模板化应急回复，方向正确但缺少化学品泄漏的分级响应（一级/二级/三级）,200,emergency_redirect,rule-engine,R-015,redirect_emergency,KB-GAP-8018,KB-GAP-8036,KB-BLK-9633010073,"结论:
若发生化学品泄漏：隔离现场、避免接触和吸入，在安全前提下通风并使用泄漏应急物资处理，立即报告实验室管理人员。

立即处理:
1. 立刻停止周边操作，警示他人远离，优先隔离泄漏区并避免吸入蒸气或直接接触。
2. 若为大量、未知成分、强挥发性、高毒、强腐蚀性或伴随冒烟反应的泄漏，立即疏散撤离、关门封控并报告，不要自行处理。
3. 仅当泄漏量小、化学品已知且你受过培训时，才可在 PPE、SDS 和本地泄漏 SOP 指引下使用吸附棉、围堵条等泄漏包物资处理。
4. 收集吸附物和污染耗材，按相应危废分类密封暂存；后续完成去污、上报和事件记录。

禁止事项:
- 禁止对大量或未知泄漏单人硬顶处理。
- 禁止把泄漏物冲入下水道或直接用拖把扩散污染范围。
- 禁止在未确认相容性的情况下混用中和剂、吸附剂或清洗剂。

应急升级:
- 若有人暴露、现场通风不足或存在起火/爆炸风险，立即启动实验室应急预案并联系专业救援力量。

参考依据:
- KB-GAP-8018: OSHA 29 CFR 1910.120 HAZWOPER; EPA Levels of Protection
- KB-GAP-8036: 危险化学品安全管理条例; OSHA HAZWOPER
- KB-BLK-9633010073: OSHA 29 CFR 1910.1450",泄漏;疏散;围堵;SDS,
ACC-0014,eval_50_human_scored,historical_scored,EV-014,化学,应急,强酸或强碱溅到眼睛了应该怎么处理？,"结论:
若化学品溅入眼睛：立即用洗眼器或大量清水持续冲洗，同时联系实验室管理人员并尽快就医。

步骤:
1. 立即停止当前操作并隔离危险源。
2. 第一时间通知实验室负责人和安全联系人。
3. 按本单位 SOP 执行现场控制、上报和记录。

禁止事项:
- 禁止继续开展当前高风险操作。
- 禁止绕过通风、审批、联锁或 PPE 要求。

应急升级:
- 如存在受伤、起火、泄漏或暴露风险，立即启动应急预案。

参考依据:
- KB-GEN-7132: 高等学校实验室安全规范（教育部2024）
- KB-GEN-7129: 高等学校实验室安全规范（教育部2024）
- KB-MSDS-2018: GB 18597-2001 危险废物贮存污染控制标准; 危险废物污染防治技术政策",emergency_redirect,rule-engine,40,,,洗眼器;撑开眼睑;冲洗15分钟;就医,,,,应急-化学品灼伤眼睛,应急-水银温度计打破,危废-含重金属废液处置,2,立即冲洗正确但缺少冲洗≥15分钟和撑开眼睑的关键细节,scored,P0,,,2,立即冲洗正确但缺少冲洗≥15分钟和撑开眼睑的关键细节,200,emergency_redirect,rule-engine,R-012,redirect_emergency,KB-MSDS-2018,KB-GAP-8024,KB-GAP-8036,"结论:
若化学品溅入眼睛：立即用洗眼器或大量清水持续冲洗，同时联系实验室管理人员并尽快就医。

立即处理:
1. 立刻使用洗眼器或大量清水持续冲洗眼睛至少15分钟，越早越好。
2. 冲洗时用手指撑开眼睑，并让眼球转动，确保结膜囊和眼球各部位都被冲到。
3. 如佩戴隐形眼镜且容易取下，可在冲洗过程中尽快取下；同时呼叫他人协助并准备化学品信息。
4. 冲洗后立即就医，明确告知接触的化学品名称、浓度和接触时间。

禁止事项:
- 禁止揉眼睛。
- 禁止自行使用中和液、有色液体或眼药水代替大量清水冲洗。
- 禁止因症状减轻就中断冲洗或延误就医。

应急升级:
- 若出现视物模糊、持续疼痛、畏光或强酸强碱/有机溶剂暴露，按高优先级眼部化学伤处理并立即送医。

参考依据:
- KB-MSDS-2018: GB 18597-2001 危险废物贮存污染控制标准; 危险废物污染防治技术政策
- KB-GAP-8024: Cornell Radiation Safety Manual; 放射性废物管理规定
- KB-GAP-8036: 危险化学品安全管理条例; OSHA HAZWOPER",洗眼器;撑开眼睑;就医,
ACC-0018,eval_50_human_scored,historical_scored,EV-018,化学,危废处置,实验室的过期化学品应该如何处理？,"{""answer"":""实验室过期化学品应分类收集，标签清晰，交由有资质的专业机构处置，严禁随意倾倒。"",""steps"":[""检查标签，按危险特性分类存放于专用容器。"",""联系有资质的危废处置单位统一回收。"",""记录处置台账，严禁混入生活垃圾或下水道。""],""ppe"":""护目镜、实验服、防化手套"",""forbidden"":""禁止直接倒入下水道或与普通垃圾混放，禁止私自焚烧或掩埋。"",""emergency"":""若发生泄漏，隔离区域，佩戴PPE，用吸附材料处理并按危废收集。""}",dify_answer,dify-workflow,17615,,,过期化学品;危废;分类;过氧化物;专业处置,,,,危废-过期化学品处置,危化品-化学品分类储存原则,危废-生物废弃物处置,2,一般性处置流程正确但未特指过氧化物形成物的特殊风险,scored,P0,,,2,一般性处置流程正确但未特指过氧化物形成物的特殊风险,200,dify_answer,local-fast-path,,,KB-MSDS-2017,KB-PHASE4-0420,KB-PHASE4-0404,"结论:
过期化学品一律按危废管理，其中乙醚、THF 等过氧化物形成物要特别警惕结晶、爆炸和禁止随意开盖移动。。

步骤:
1. 先核对标签、开封日期和危险类别，按危废分类密闭、贴签和登记台账
2. 对乙醚、THF、二恶烷等可能形成过氧化物的试剂，发现瓶口结晶或可疑沉积时不要再开盖移动
3. 联系有资质的危废处置单位或校内危化管理员统一评估、专业处置和移交

禁止事项:
- 禁止把过期化学品直接倒入下水道或普通垃圾桶
- 禁止对可形成过氧化物的旧试剂强行开盖、蒸馏或搬动
- 禁止未登记、未评估危险性就私自转移或继续使用

应急提醒:
- 若打包过程中发生反应/冒烟：立即停止，疏散，报告

参考依据:
- KB-MSDS-2017: 危险废物污染防治技术政策; NIH Managing Peroxide Formers Guide
- 相关命中 3 条，可展开引用查看原始依据。",过期化学品;危废;分类;过氧化物;专业处置,
ACC-0019,eval_50_human_scored,historical_scored,EV-019,化学,危废处置,含重金属的实验废液应该怎么处理？,"{""answer"":""含重金属的实验废液应分类收集，禁止排入下水道，交由有资质的单位处置。"",""steps"":[""使用专用容器收集，避免混入有机废液或酸碱。"",""容器需标注“重金属废液”、成分、日期及责任人。"",""密封暂存于危废储存区，定期联系危废公司清运。""],""ppe"":""操作时须佩戴护目镜、实验服及耐化学品手套。"",""forbidden"":""严禁倒入下水道或与普通垃圾混放，防止环境污染。"",""emergency"":""""}",dify_answer,dify-workflow,14150,,,重金属;单独收集;汞;六价铬;专业处置,,,,危废-含重金属废液处置,危废-化学废液分类收集,应急-实验室停电应急处置,2,分类收集和禁止下水道正确，但缺少汞/六价铬等具体重金属示例,scored,P0,,,2,分类收集和禁止下水道正确，但缺少汞/六价铬等具体重金属示例,200,dify_answer,local-fast-path,,,KB-MSDS-2018,KB-BLK-9109,KB-1003,"结论:
含重金属废液必须专桶、专标识、专暂存，严禁下水道，汞、铅、镉、六价铬等应作为重点污染物单独管理。。

步骤:
1. 将含汞、铅、镉、铬、六价铬等废液单独收集、专桶暂存，避免与有机废液、酸碱废液混装
2. 容器标注“重金属废液”以及主要成分、浓度、日期和责任人，保持密封暂存
3. 按危废流程交由有资质单位专业处置，严禁排入下水道

禁止事项:
- 禁止把含汞、铅、镉、铬等废液倒入下水道
- 禁止与有机废液或酸碱废液混装导致后续处置困难
- 禁止无标签暂存或使用不耐腐蚀容器长期存放

应急提醒:
- 含汞废液泄漏：隔离区域，用硫粉或专用汞吸收剂处理，通风

参考依据:
- KB-MSDS-2018: GB 18597-2001 危险废物贮存污染控制标准; 危险废物污染防治技术政策
- 相关命中 3 条，可展开引用查看原始依据。",重金属;单独收集;汞;六价铬;专业处置,
ACC-0023,eval_50_human_scored,historical_scored,EV-023,化学,应急,实验室突然停电应该怎么处理？,实验室停电时：先关闭设备开关，启用应急照明，避免恢复供电时冲击损坏；检查关键设备（如通风柜、低温冰箱）状态；向负责人或物业报告，确认断电原因与预计恢复时间。,dify_answer,dify-workflow,5083,,,停电;关闭加热;通风柜;气瓶阀门;应急照明,,,,应急-实验室停电应急处置,危废-含重金属废液处置,应急-水银温度计打破,2,基本处置正确但未明确提及关闭加热设备和气瓶阀门,scored,P0,,,2,基本处置正确但未明确提及关闭加热设备和气瓶阀门,200,dify_answer,local-fast-path,,,KB-PHASE4-0650,KB-PHASE4-0425,KB-GAP-8010,"结论:
实验室停电时要先控风险源，再保人员与关键设备安全，重点是关闭加热设备、气源并确认通风与应急照明状态。。

步骤:
1. 先停止实验并关闭电热套、加热板、搅拌器等带热源设备，防止来电后自启动
2. 能安全做到时关闭气瓶阀门和相关工艺阀门，确认通风柜、低温冰箱和培养箱等关键设备状态
3. 启用应急照明并报告负责人/物业，待供电恢复后按 SOP 逐项复机

禁止事项:
- 禁止停电后放任加热设备、反应装置和气源处于原状态
- 禁止在照明不足、通风异常时继续进行高风险实验
- 禁止未确认设备复位和环境安全就直接恢复运行

参考依据:
- KB-PHASE4-0650: Cornell EHS - Power Outage Procedures
- 相关命中 3 条，可展开引用查看原始依据。",停电;关闭加热;通风柜;气瓶阀门;应急照明,
ACC-0026,eval_50_human_scored,historical_scored,EV-026,设备安全,加热设备,使用马弗炉时需要注意哪些安全事项？,使用马弗炉需严格防烫、防火、防爆。操作前检查线路和炉膛，佩戴隔热手套。加热时控制温度，禁止放入易燃品。停用后断电冷却，确认通风良好。,dify_answer,dify-workflow,4711,,,马弗炉;高温;坩埚;开门温度;隔热手套,,,,设备-马弗炉安全使用,危化品-甲苯储存与使用,危化品-硝酸安全使用,2,基本要点正确但过于简略，缺少坩埚使用和降温开门的详细说明,scored,P0,,,2,基本要点正确但过于简略，缺少坩埚使用和降温开门的详细说明,200,dify_answer,local-fast-path,,,KB-BLK-9126,KB-BLK-9633010096,KB-BLK-9139,"结论:
马弗炉属于高温高风险设备，样品类型、坩埚材质、预干燥和降温开门方式都必须符合要求。。

步骤:
1. 样品进炉前先确认无残留溶剂、非密闭、非未知成分，并选用陶瓷/石英/铂等合适坩埚
2. 按程序升温，取样或开门时站在炉门侧面，待温度降到安全值后先开一条缝散气，再用长柄坩埚钳操作
3. 高温坩埚放在耐热垫上冷却，设备周围保持无可燃物并保证排风良好

禁止事项:
- 禁止将含溶剂、密闭、未知或可能爆炸的样品放入马弗炉
- 禁止高温时正对炉口猛开门或徒手取放坩埚
- 禁止把马弗炉放在可燃台面附近或排风不良处长期运行

应急提醒:
- 马弗炉过热致元件烧毁或炉体燃烧:切断电源→CO2灭火器→撤离→报告

参考依据:
- KB-BLK-9126: Prudent Practices in the Laboratory (National Academies Press)
- 相关命中 3 条，可展开引用查看原始依据。",马弗炉;高温;坩埚,
ACC-0041,eval_50_human_scored,historical_scored,EV-041,通用,PPE,进入化学实验室必须佩戴哪些个人防护装备？,进入化学实验室必须佩戴护目镜、实验服、手套，必要时加防毒口罩。先检查装备完好，再按规范穿戴到位。,dify_answer,dify-workflow,13554,,,PPE;实验服;护目镜;封闭鞋子;手套,,,,PPE-实验服选择与使用,实验室安全知识-化学化工学院门户网站,化学化工实验室安全管理规范（片段4）,2,基本PPE覆盖但遗漏封闭鞋这一强制性实验室PPE要求,scored,P0,,,2,基本PPE覆盖但遗漏封闭鞋这一强制性实验室PPE要求,200,dify_answer,local-fast-path,,,KB-PHASE4-0116,KB-PHASE4-0505,KB-EQUIP-10425,"结论:
化学实验的基础 PPE 通常包括护目镜、实验服、合适手套和封闭鞋，必要时再升级面罩、围裙或呼吸防护。。

步骤:
1. 先按实验内容确认 PPE：护目镜、实验服、合适手套是化学实验基础配置
2. 脚部穿封闭鞋，避免凉鞋、拖鞋、露趾鞋或高跟鞋进入实验区
3. 遇强腐蚀、飞溅、粉尘或挥发性风险时，再按 SOP 升级面罩、围裙或呼吸防护

禁止事项:
- 禁止穿凉鞋、拖鞋、高跟鞋或露趾鞋进入实验区
- 禁止高风险操作时省略护目镜、实验服或合适手套
- 禁止被化学品污染后继续穿戴不处理

参考依据:
- KB-PHASE4-0116: Working with Laboratory Equipment - Prudent Practices in the Laboratory, Section 7.F.1
- 相关命中 3 条，可展开引用查看原始依据。",PPE;实验服;护目镜;手套,
ACC-0060,alignment_v2_round6,proposal_alignment_round2,ALIGN-0010,化学,分类储存,硝酸和乙醇能放在同一个柜子里吗？,"结论:
不能。硝酸属于强氧化性酸，乙醇属于易燃有机溶剂，应按不相容化学品分开储存，不得放在同一柜体或同层。

步骤:
1. 先按化学品相容性重新核对危险特性，不要只看是否‘都能进柜’。
2. 氧化性酸、易燃有机溶剂等不相容物质应分柜或分区隔离存放。
3. 如现场柜体分类不明确，先暂停放置并联系实验室负责人确认。

禁止事项:
- 禁止将不相容化学品同柜、同层或紧邻混放。
- 禁止在未核对标签、浓度和危险类别前凭经验判断可否共存。

参考依据:
- KB-GAP-8042: Cornell Lab Safety Manual Ch.7 Transporting Chemicals; Hazardous Materials Transportation Act
- KB-BLK-9079: OSHA 29 CFR 1910.1450 - Laboratory Standard
- KB-BLK-9153: Prudent Practices in the Laboratory (National Academies Press)",rule_direct_answer,rule-engine,69,rule-engine,拒绝危险混放并给正确储存,不能;氧化剂与易燃物分开;不相容储存,,,,在校园内不同实验室之间转运化学品需要注意什么？,UPS(不间断电源)的电池安全与维护,化学相容性速查——任何化学家必须掌握的禁忌组合,,,pending_review,P1,,,,,200,rule_direct_answer,rule-engine,R-025,direct_safe_answer,KB-GAP-8042,KB-BLK-9079,KB-BLK-9153,"结论:
不能。硝酸属于强氧化性酸，乙醇属于易燃有机溶剂，应按不相容化学品分开储存，不得放在同一柜体或同层。

步骤:
1. 先按化学品相容性重新核对危险特性，不要只看是否‘都能进柜’。
2. 氧化性酸、易燃有机溶剂等不相容物质应分柜或分区隔离存放。
3. 如现场柜体分类不明确，先暂停放置并联系实验室负责人确认。

禁止事项:
- 禁止将不相容化学品同柜、同层或紧邻混放。
- 禁止在未核对标签、浓度和危险类别前凭经验判断可否共存。

参考依据:
- KB-GAP-8042: Cornell Lab Safety Manual Ch.7 Transporting Chemicals; Hazardous Materials Transportation Act
- KB-BLK-9079: OSHA 29 CFR 1910.1450 - Laboratory Standard
- KB-BLK-9153: Prudent Practices in the Laboratory (National Academies Press)",不能,
