id,title,category,subcategory,lab_type,risk_level,hazard_types,scenario,question,answer,steps,ppe,forbidden,disposal,first_aid,emergency,legal_notes,references,source_type,source_title,source_org,source_version,source_date,source_url,last_updated,reviewer,status,tags,language
KB-1001,实验室安全-通风柜使用,化学,通风柜,化学,2,挥发性;刺激性,处理挥发性或有毒溶剂,通风柜什么时候必须开启？,处理挥发性、刺激性或有毒溶剂时必须开启通风柜，操作时保持前窗在安全刻度内并确认风速报警正常。,检查风速与报警状态;前窗降至安全刻度;在柜内操作;结束后延迟关闭,护目镜;实验服;手套,禁止将头部伸入柜内;禁止在柜内长期存放大量化学品,按MSDS分类收集,如吸入不适，移至通风处并就医,发生大量泄漏按应急预案处理,遵守实验室安全管理制度,SOP-通风柜使用（待补充）,SOP,危险化学品安全管理条例（国务院令第591号）,国务院/应急管理部,待补充,,https://www.gov.cn/gongbao/content/2011/content_1825120.htm,2026-03-11,,draft,通风柜;溶剂,zh-CN
KB-1002,危化品-乙醇储存,危化品,储存,化学,3,易燃,乙醇存放与使用,乙醇应如何储存？,乙醇应存放于防火安全柜内，远离热源与明火，容器密闭并贴有清晰标签。,检查容器密封;放入防火柜;远离点火源;标识清楚,护目镜;实验服;手套,禁止靠近明火;禁止与强氧化剂混放,有机废液桶;禁止下水道,溅入眼睛立即冲洗并就医,火情按应急预案处理,遵循危化品管理规定,MSDS-乙醇（待补充）,MSDS,化学品安全数据说明书（SDS）-乙醇,应急管理部化学品登记中心,待补充,,https://www.merck.com/products/safety-data-sheets/,2026-03-11,,draft,乙醇;易燃,zh-CN
KB-1003,废液处置-有机溶剂,化学,废液处置,化学,3,有机溶剂,有机溶剂废液处理,有机溶剂废液怎么处理？,有机溶剂废液应分类收集于有机废液桶，严禁倒入下水道。,确认废液类型;分类收集;按制度交由危废处置,护目镜;实验服;手套,禁止倒入水槽/下水道,有机废液桶,皮肤接触立即清洗,泄漏按应急预案处理,遵守危废管理制度,危废处置流程（待补充）,制度,危险废物污染防治技术政策,生态环境部,待补充,,https://www.mee.gov.cn/ywgz/gtfwyhxpgl/wfhgql/,2026-03-11,,draft,废液;危废,zh-CN
KB-1004,危险混合-盐酸与漂白水,化学,危险混合,化学,5,有毒气体,危险混合,盐酸和漂白水能混吗？,禁止混合，可能产生有毒气体或剧烈反应。如已混合请立即停止操作并按应急预案处理。,,护目镜;实验服;手套,禁止混合,按危废分类处理,如吸入不适立即移至通风处并就医,按应急预案处理并联系管理人员,遵守实验室安全管理制度,危化品安全制度（待补充）,制度,化学品安全数据说明书（SDS）-盐酸/次氯酸钠,应急管理部化学品登记中心,待补充,,https://www.merck.com/products/safety-data-sheets/,2026-03-11,,draft,混合禁忌;盐酸;漂白水,zh-CN
KB-1005,明火禁忌-乙醚,化学,明火禁忌,化学,4,易燃;挥发性,易燃溶剂加热,能用酒精灯加热乙醚吗？,禁止明火加热乙醚。易燃溶剂应使用水浴或电热等安全方式，并在通风条件下操作。,,护目镜;实验服;手套,禁止明火加热,有机废液桶,如吸入不适立即移至通风处,发生火情按应急预案处理,遵守实验室安全管理制度,SOP-易燃溶剂操作（待补充）,SOP,化学品安全数据说明书（SDS）-乙醚,应急管理部化学品登记中心,待补充,,https://www.merck.com/products/safety-data-sheets/,2026-03-11,,draft,易燃;明火,zh-CN
KB-1006,应急-酸液洒漏,化学,泄漏应急,化学,4,腐蚀性,酸液洒漏,酸液洒了怎么处理？,立即隔离现场，佩戴必要PPE，在安全前提下进行通风并使用合适的泄漏应急物资处理，及时报告实验室管理人员。,隔离区域并提醒他人;佩戴PPE;按应急预案处理;报告管理人员,护目镜;防酸手套;实验服,禁止徒手处理;禁止继续实验,按危废流程处置,皮肤接触立即冲洗,启动化学品泄漏应急预案,遵守应急预案,实验室应急预案（待补充）,应急预案,高等学校实验室安全规范（教育部2024）,教育部,待补充,,https://www.moe.gov.cn/srcsite/A16/moe_784/202302/t20230220_1045998.html,2026-03-11,,draft,泄漏;酸液,zh-CN
KB-1007,应急-浓酸溅手,化学,灼伤应急,化学,4,腐蚀性,浓酸溅到皮肤,浓酸溅到手上怎么办？,立即用大量清水持续冲洗，尽快脱去被污染的手套/衣物，并联系实验室管理人员或就医。,停止实验;大量清水冲洗;脱去污染物;就医/报告,护目镜;防酸手套;实验服,禁止用不明药剂直接中和,污染物按危废处理,持续冲洗并就医,按应急预案处理并报告,遵守应急预案,实验室应急预案（待补充）,应急预案,高等学校实验室安全规范（教育部2024）,教育部,待补充,,https://www.moe.gov.cn/srcsite/A16/moe_784/202302/t20230220_1045998.html,2026-03-11,,draft,灼伤;浓酸,zh-CN
KB-1008,PPE-配制溶液,化学,个人防护,化学,2,化学接触,配制溶液,做配制溶液需要哪些PPE？,一般应佩戴护目镜、实验服和合适的防化手套；若有挥发性溶剂需在通风柜内操作。,,护目镜;实验服;手套,禁止省略PPE,,皮肤接触及时清洗,按应急预案处理,遵守实验室安全管理制度,PPE规范（待补充）,制度,高等学校实验室安全规范（教育部2024）,教育部,待补充,,https://www.moe.gov.cn/srcsite/A16/moe_784/202302/t20230220_1045998.html,2026-03-11,,draft,PPE;防护,zh-CN
KB-1009,压缩气体-气瓶固定,化学,气瓶管理,化学,4,高压气体,气瓶存放,气瓶如何固定？,气瓶应使用链条或支架固定，远离热源并佩戴瓶帽；搬运与存放需符合规范。,使用链条/支架固定;远离热源;保持直立并佩戴瓶帽,手套;安全鞋,禁止倾倒;禁止靠近热源,,发生倒瓶或泄漏按应急预案处理,气体泄漏立即撤离并报告,遵守气瓶管理制度,气瓶管理制度（待补充）,制度,危险化学品安全管理条例（国务院令第591号）附：气瓶安全监察规程,国务院/应急管理部,待补充,,https://www.gov.cn/gongbao/content/2011/content_1825120.htm,2026-03-11,,draft,气瓶;高压,zh-CN
KB-1010,危废-过期试剂处理,化学,危废处置,化学,3,危废,过期试剂,过期试剂能直接倒掉吗？,不能。过期试剂应按危废分类收集并移交合规处置。,确认类别;密闭标识;交由危废处置,护目镜;实验服;手套,禁止倒入下水道;禁止随意丢弃,危废桶/危废间,接触后及时清洗,泄漏按应急预案处理,遵守危废管理制度,危废处置制度（待补充）,制度,危险废物污染防治相关规定,生态环境部,待补充,,https://www.mee.gov.cn/ywgz/gtfwyhxpgl/wfhgql/,2026-03-11,,draft,危废;过期试剂,zh-CN
