# --- 化学品 批次3 (50) ---
碳酸钾	Potassium Carbonate	刺激性;粉尘	1	碱性盐，吸湿性。密封储存防潮。
碳酸钙	Calcium Carbonate	低毒;粉尘	1	无毒填充剂/中和剂。粉尘避免长期吸入。
氧化钙	Calcium Oxide	腐蚀性;与水产热	3	生石灰，遇水剧烈放热(可达沸腾)。密封防潮储存。
氯化钙	Calcium Chloride	刺激性;吸湿性	2	强吸湿干燥剂。水解放热。
无水硫酸钠	Sodium Sulfate Anhydrous	低毒;粉尘	1	常用干燥剂。无毒，粉尘避免吸入。
无水硫酸镁	Magnesium Sulfate Anhydrous	低毒;粉尘	1	有机相干燥剂。基本无毒。
4A分子筛	Molecular Sieves 4A	粉尘;吸湿性	1	干燥剂，活化后高温。再生时注意烫伤。
硅胶	Silica Gel	粉尘;吸湿性	1	干燥剂，含钴指示剂的蓝色硅胶为致癌物(CoCl2)。推荐无钴橙色硅胶。
活性炭	Activated Carbon	粉尘;可燃	2	多孔碳材料，可燃。粉尘可形成爆炸性混合物(低风险)。
五氧化二磷	P2O5	腐蚀性;与水产热;脱水性	4	极度强干燥剂，遇水剧烈反应生成磷酸。密封保存。
氢化钙	CaH2	遇水产氢;易燃;腐蚀性	4	干燥和制氢试剂，与水产H2。密封防潮。
金属镁	Magnesium metal	易燃;遇水产氢;D类火灾	4	镁屑/粉可燃，遇水反应。D类灭火器操作区配备。
锌粉	Zinc Powder	易燃;粉尘爆炸;环境危害	3	微细锌粉可形成爆炸性粉尘云。惰气保护操作。
铁粉	Iron Powder	可燃(细粉);粉尘爆炸	2	还原铁粉在空气中自燃风险低但细粉可产生粉尘爆炸。
铜粉	Copper Powder	可燃;粉尘爆炸	2	微细铜粉可产生粉尘爆炸。非高活性金属。
磷酸二氢钾	KH2PO4	低毒	1	缓冲盐。无毒。
磷酸氢二钾	K2HPO4	低毒;刺激性	1	缓冲盐。无毒。
氯化铵	Ammonium Chloride	刺激性;粉尘	2	加热分解产生NH3和HCl。通风柜加热。
硝酸铵	Ammonium Nitrate	氧化剂;爆炸性(受热/污染);刺激性	5	与有机物混合可形成爆炸性混合物(ANFO炸药原理)。严格隔离储存。
亚硝酸钠	Sodium Nitrite	氧化剂;有毒;与酸产NOx	3	与酸反应产生有毒氮氧化物气体。致癌物警示(体内形成亚硝胺)。
硫化钠	Sodium Sulfide	腐蚀性;有毒;与酸产H2S剧毒	4	与酸接触产生剧毒H₂S气体！绝对与酸隔离存放。
硫代硫酸钠	Sodium Thiosulfate	低毒;刺激性	1	照相定影剂，碘量法试剂。无毒。
过硫酸钾	Potassium Persulfate	氧化剂;刺激性;致敏	3	比过硫酸铵更稳定，仍是强氧化剂。避免与有机物混合。
铁氰化钾	Potassium Ferricyanide	低毒;与酸产HCN(强酸加热)	2	赤血盐，低毒(CN-与铁强配位)。但与强酸加热时可能释放HCN。
