question,success,http_status,header_ms,first_event_ms,first_answer_ms,total_ms,event_count,finish_event,error
浓硫酸稀释的正确操作步骤是什么？,True,200,21.9,1137.9,1147.8,3497.0,292,workflow_finished,
使用硝酸时需要注意哪些安全事项？,True,200,18.3,1141.5,1154.2,6440.1,431,workflow_finished,
配制氢氧化钠溶液时需要注意什么？,True,200,24.7,2487.3,3108.3,6480.7,296,workflow_finished,
使用乙醚时需要注意哪些安全事项？,True,200,17.7,1114.2,1388.2,5491.5,400,workflow_finished,
实验室化学品应该如何分类储存？,True,200,19.7,1122.7,1146.5,5948.7,464,workflow_finished,
使用丙酮时需要注意哪些安全事项？,True,200,23.9,1142.0,1237.5,4896.2,318,workflow_finished,
过氧化氢能和有机溶剂混合吗？为什么？,True,200,18.9,1124.0,1726.3,4616.7,267,workflow_finished,
使用甲醛溶液时需要注意哪些安全事项？,True,200,21.7,1468.4,1766.3,5811.6,351,workflow_finished,
使用二氯甲烷做萃取时需要注意什么？,True,200,19.1,1120.3,1129.9,4496.2,343,workflow_finished,
防火安全柜的使用要求有哪些？,True,200,31.5,1111.8,1158.4,4745.0,353,workflow_finished,
实验室气瓶使用的安全要求有哪些？,True,200,18.7,1124.1,1134.0,5527.2,401,workflow_finished,
使用液氮时需要注意什么安全事项？,True,200,19.1,1121.6,1339.9,5073.3,352,workflow_finished,
实验室发生大量化学品泄漏时应该怎么做？,True,200,18.5,1119.2,1321.1,5382.9,343,workflow_finished,
强酸或强碱溅到眼睛了应该怎么处理？,True,200,18.5,2102.9,2232.8,5228.7,264,workflow_finished,
有人化学品中毒了应该怎么急救？,True,200,19.6,1093.8,1161.9,4703.7,318,workflow_finished,
实验室化学废液应该怎么分类收集？,True,200,19.3,1171.7,2244.5,6753.0,407,workflow_finished,
用完的化学试剂空瓶可以当普通垃圾扔掉吗？,True,200,19.4,1127.1,1599.6,4788.3,301,workflow_finished,
实验室的过期化学品应该如何处理？,True,200,17.8,1119.0,1221.0,5044.4,350,workflow_finished,
含重金属的实验废液应该怎么处理？,True,200,19.2,1120.7,1322.7,4716.0,318,workflow_finished,
使用甲醇时有哪些安全风险？应该如何防护？,True,200,21.1,1131.6,2249.5,6425.4,394,workflow_finished,
氢氟酸（HF）为什么特别危险？接触后如何处理？,True,200,48.0,1139.2,1843.3,5853.9,380,workflow_finished,
钠金属应该如何安全储存和处置？,True,200,21.5,1121.0,1791.8,5654.5,350,workflow_finished,
实验室突然停电应该怎么处理？,True,200,19.2,1125.3,1730.5,5275.7,298,workflow_finished,
水银温度计打破了应该怎么处理？,True,200,19.6,1123.9,2505.9,5287.9,268,workflow_finished,
使用烘箱烘干玻璃仪器时需要注意什么？,True,200,18.3,2385.0,2577.1,6496.5,355,workflow_finished,
使用马弗炉时需要注意哪些安全事项？,True,200,19.7,1123.5,1355.7,6415.4,407,workflow_finished,
使用离心机的安全操作规程是什么？,True,200,19.0,1086.0,1935.7,6318.6,410,workflow_finished,
高压灭菌锅的安全操作流程是什么？,True,200,18.9,1123.3,1493.9,5973.5,380,workflow_finished,
使用电泳仪时需要注意哪些安全事项？,True,200,20.2,1144.4,1154.7,5234.8,328,workflow_finished,
通风柜的正确使用方法是什么？,True,200,18.6,1091.1,1780.3,5527.6,334,workflow_finished,
使用真空泵时需要注意哪些安全事项？,True,200,21.3,1131.8,1332.8,5383.6,376,workflow_finished,
使用高效液相色谱仪(HPLC)有哪些安全注意事项？,True,200,20.2,1191.7,2213.9,6338.6,420,workflow_finished,
核磁共振波谱仪(NMR)使用前需要了解哪些安全知识？,True,200,21.0,1154.5,1463.9,5859.9,400,workflow_finished,
生物安全柜和超净工作台有什么区别？,True,200,18.6,1123.0,1997.9,6513.5,391,workflow_finished,
生物实验室的废弃物应该如何处置？,True,200,77.4,1587.5,1602.1,4472.9,296,workflow_finished,
使用生物安全柜时需要注意哪些操作规范？,True,200,19.0,1086.3,1322.7,4941.9,342,workflow_finished,
高压电源如何上电？安全注意事项有哪些？,True,200,18.3,1121.3,1496.7,4181.2,263,workflow_finished,
示波器使用前需要检查什么？,True,200,36.5,1180.4,1757.1,4189.1,239,workflow_finished,
如果有人触电了，正确的急救步骤是什么？,True,200,34.4,1118.4,1634.4,4121.6,234,workflow_finished,
可以用湿手插拔电源插头吗？为什么？,True,200,28.9,1142.6,2215.9,5343.8,286,workflow_finished,
进入化学实验室必须佩戴哪些个人防护装备？,True,200,50.3,1247.7,2264.0,5241.8,262,workflow_finished,
不同类型的实验手套应该如何选择？,True,200,41.2,1250.4,2083.6,5313.2,330,workflow_finished,
什么情况下需要佩戴呼吸防护设备？如何选择？,True,200,42.0,1327.6,1864.1,5756.1,385,workflow_finished,
实验室发生火灾时正确的处置流程是什么？,True,200,20.9,1121.6,1724.7,4569.1,274,workflow_finished,
实验室不同类型的火灾应该使用什么灭火器？,True,200,19.1,1140.0,1541.6,5123.8,371,workflow_finished,
洗眼器和安全淋浴应该怎么使用？,True,200,18.1,1118.6,1124.7,4655.7,318,workflow_finished,
进入实验室工作之前需要满足什么条件？,True,200,19.1,2162.7,2687.6,6496.4,387,workflow_finished,
实验室有哪些常见的禁止行为？,True,200,19.9,1116.4,1860.9,6941.2,434,workflow_finished,
实验室常见的安全标识有哪些类别？,True,200,19.3,1119.1,1812.0,5492.3,344,workflow_finished,
化学实验室每天下班前必须检查什么？,True,200,19.4,1211.0,2015.1,6287.5,383,workflow_finished,
