# --- 电气安全 ---
实验室电气安全基本要求	电气安全	电气安全基础	2	电击;火灾;设备损坏	实验室电气安全的基本原则：1) 所有电气设备必须接地（双绝缘设备除外），使用三芯插头；2) 禁止使用"三转二"转换插头（cheater plug）；3) 每月目视检查所有电线，特别是可能发生水淹的实验室区域——橡胶包覆电线可被有机溶剂、臭氧和长期空气氧化侵蚀；4) 立即更换所有磨损或损坏的电线后再使用设备；5) 延长线仅限临时使用（<1天），如需使用必须是三芯、有独立接地、额定功率足够并配有GFCI的类型；6) 电气设备应放置在最小化化学品泄漏或易燃蒸气进入的位置。如有水或化学品溅到电气设备上，立即用主开关或断路器断电并用绝缘橡胶手套拔下插头。
电气设备安装和维修安全要求	电气安全	电气维修	3	电击;电弧;电容放电	电气设备的安装、改造和维修必须由经过适当培训和合格的电气人员进行。所有维修和校准工作前，设备必须断电且所有电容器必须安全放电，并验证断电/放电状态。OSHA危险能量控制标准（29 CFR § 1910.147，Lockout/Tagout）适用。新电气设备应在收货时检查认证标志——如有UL/CSA/ETL/CE认证标志，无需详细测试检查；如无认证标志，应经电工检查后方可使用。维修后重新连接电源前，用合适测试仪（如万用表）检查设备是否正确接地。未纠正短路原因前不要重新接通断路器。高电流/高电压设备即使断电并脱离电源后仍假定存在电压电势——设备内可能含电容器。
实验室接地故障电路保护器(GFCI)	电气安全	GFCI	2	电击;接地故障;湿热环境	GFCI在检测到接地故障时断开电流。当地电气规范要求室外插座和距水槽6英尺（1.83m）内的实验室插座安装GFCI。GFCI在功能和目的上不同于保险丝和断路器——后者主要保护设备和防止因短路等异常高电流引起的电气火灾。某些类型的GFCI会在意外和不适当的时间导致设备关停——因此选择和使用需仔细规划。GFCI不是故障安全设备——能大幅减少致命电击的可能性但不能完全消除。在冷室或大型冰箱中使用电气设备时需特别注意凝结水可能进入设备。
实验室插座和布线规范	电气安全	布线	2	接地;GFCI;化学通风柜	实验室所有110V插座应为接受三插脚插头并提供接地连接的标准设计。尽早更换两插脚插座并增加单独地线。接地线最好在上方以防止任何物品掉落到带暴露插脚的插头上，并确保接地前先接触零线或火线。化学通风柜内设备供电的插座应位于通风柜外侧——防止设备插拔时在柜内产生电火花，也允许人员在意外发生时从柜外切断设备电源。电线不应以可能被意外拉出插座或绊倒的方式布线——使用简单的塑料固定带和扎带安全布线。信号线和电源线不应混在同一电缆槽或面板中。
电气设备防爆要求	电气安全	防爆电气	4	易燃蒸气;电火花;爆炸	许多实验室位置根据消防和电气规范被分类为需无火花防爆电机和电气设备的区域。使用大量易燃溶剂的区域也需要防爆照明和电气装置。此类设施的所有者负责确保所有电气设备和装置满足这些规范和法规。在可能存在挥发性易燃物质的实验室中使用的电机驱动设备应配备满足Class 1, Division 2, Group C-D电气标准的无火花感应电机或空气电机——而非使用碳刷的串绕电机（通常用于真空泵、机械摇床、搅拌电机、磁力搅拌器和旋转蒸发仪）。串联绕线电机不能改装为无火花，因此不应在可能存在易燃材料的实验室使用此类设备（如厨房冰箱、搅拌机和搅拌器）。系列绕线电机的设备（如真空吸尘器、便携电钻）带入实验室用于特殊目的时应确保无可燃蒸气存在。
电气设备个人安全操作技术	电气安全	个人安全	3	电击;高压;接地	操作或维修电气设备时遵循以下基本安全预防措施：1) 告知每个使用电气设备的人员确保个人安全的基本预防步骤；2) 避免接触通电电路——仅让合格人员维修电气设备；3) 合格人员维修前断开电源并确认电容器已放电；4) 如可能保持单手操作，另一只手放在身体侧或口袋中远离导电材料——减少电流穿过胸腔的事故可能性；5) 保持距离墙壁、水和所有金属材料（包括管道）至少6英寸以避免接地；6) 使用额定值和线缆足以测量被维修设备内最高电压的电压表和测试设备；7) 如有人接触带电导体——先断开电源再移动该人并实施急救。
电泳设备安全操作	电气安全	电泳	3	高压;电击;缓冲液导电	电泳设备使用高压电源——存在严重电击风险。安全操作要求：1) 始终在电泳槽运行前连接好所有导线——严禁在通电状态下插拔接线；2) 使用有安全互锁盖的电泳槽——打开盖子自动断电；3) 工作区域保持干燥清洁——缓冲液洒出立即清理；4) 不得在无人值守情况下运行高压电泳；5) 定期检查电线和连接器——磨损的绝缘层或不牢固的连接可产生电弧；6) 使用正确额定功率的电源——不要过载；7) 所有高压电源应有明显的运行指示灯；8) 电泳结束后先断电再拆卸凝胶或断开连接。
激光安全分级与防护要求	辐射安全	激光安全	3	眼部伤害;皮肤灼伤;火灾	激光根据危害程度分为不同等级：Class I（低功率、内置安全——激光打印机等）、Class II（可见光激光<1mW——条码扫描器等）、Class IIIA（1-5mW——激光指针等）、Class IIIB（5-500mW中等功率——可造成眼部伤害）、Class IV（>500mW高功率——可造成眼部/皮肤伤害和火灾）。Class IIIB和IV激光仅在张贴警告标识的激光控制区域操作。除授权操作者外任何人不得进入正在使用激光的激光控制实验室。眼部防护：选择与激光波长和光密度匹配的激光护目镜；皮肤防护：暴露在外的皮肤应穿防护服遮盖。控制措施符合ANSI Z136.1标准。
放射性同位素实验室安全规则	辐射安全	放射性同位素	4	电离辐射;污染;摄入;外照射	放射性同位素实验室的基本安全规则：ALARA原则（As Low As Reasonably Achievable）——将所有辐射暴露保持在合理可达的最低水平。时间：尽量减少放射源附近工作时间；距离：尽可能增加与放射源的距离（辐射强度与距离平方成反比——加倍距离，暴露减至1/4）；屏蔽：在放射源和操作者之间使用适当的屏蔽材料（β射线用有机玻璃/塑料；γ射线用铅或高密度材料）。禁止在放射性工作区域饮食、化妆和使用手机。所有放射性材料必须在指定的工作区域内使用，使用后监测工作表面和手部。必须佩戴个人辐射监测剂量计。放射性废物严格按类别（固体、液体、闪烁液、动物尸体）分开收集。
X射线设备辐射安全	辐射安全	X射线	4	电离辐射;遗传损伤;细胞破坏	X射线衍射仪等低能量X射线束可导致细胞破坏和遗传损伤。操作者必须时刻注意X射线束的开/关状态，了解束路位置，知道在对准准备实验时如何安全地在束周围工作。机器警示灯指示束闸打开时。用户需佩戴监测剂量计以测量累积暴露。X射线设备由政府监管——通常需要注册和许可。培训在该类设备操作或附近工作的人员以最小化自身和他人暴露于有害电离辐射的风险。定期进行辐射安全调查和泄漏测试。
