question_sha256,http_status,elapsed_ms,server_elapsed_ms,model,decision,answer_nonempty,upstream_ms,error
afaa19426c26baea657ae2986c148a43b11d3cdd09918ff0c03425ebdbe45c66,200,126.5,120,local-kb-complete,local_complete_answer,True,0,
9cd25b2c258f1a1a6fb2eeb775e0b5f4b894875767621650735569d867a6800a,200,124.3,117,local-kb-complete,local_complete_answer,True,0,
f967bf3beefc43111abb5af022b55f3891ce086f26bcbb885cdd0f8b73530fee,200,146.3,135,local-kb-complete,local_complete_answer,True,0,
41a95a84756fafc8e2c252f8a8c8d63e192121a91111d091c73c285a3c33c3b5,200,130.6,119,local-kb-complete,local_complete_answer,True,0,
d58a2fd9ad6d25dd56413b590b02b44dc38aeb8954ed722711f2a0266e686ec1,200,178.8,171,local-fast-path,dify_answer,True,0,
4fc4f7b4650bb4cdc0658bfb4ef04b64fa535c4412b4abda80be02a838d3a24d,200,143.7,136,local-kb-complete,local_complete_answer,True,0,
e6623ac5538b4d66fea8c547fef26d66c570c6da6323e6c318e085a51f2e3a94,200,118.9,111,local-kb-complete,local_complete_answer,True,0,
3205a7594a4dbeb1f5e1742f0753706defc5384cd3a9a516a82c77c1d9dbbb83,200,135.6,129,local-fast-path,dify_answer,True,0,
f30877a8917d02a0a91ecb338522276b3ddb25effd3035337e1ea89ab31d2ad6,200,129.0,121,local-fast-path,dify_answer,True,0,
5fc804d254e0bd3d06a9310e0087a16ce979bd15215e3c261e3d0144e18c515f,200,131.9,125,local-fast-path,dify_answer,True,0,
a8fdc372369611f4162e817409d5a20fcc0ff487b710193e487b2ee317f7f0aa,200,140.4,133,local-kb-complete,local_complete_answer,True,0,
eff814f46bc4875207739f43d229ab3f314ff2b9b12de5a4a8554f519dad3525,200,185.6,177,local-kb-complete,local_complete_answer,True,0,
fac834ec40f27a1ef0858d766c49af9402f09e1026e8ebd292bb329d8f9c6f8b,200,146.6,138,rule-engine,emergency_redirect,True,0,
5f7544bb2e5c6612c086421b0cd9b632b30e93b6990d3a38e13f2429e1d6c1c6,200,131.8,125,rule-engine,emergency_redirect,True,0,
519f54a42176de8a909abf21b4366c2ab27980d82ae80889ea5e03929ef00964,200,129.8,122,local-kb-complete,local_complete_answer,True,0,
3f6759661e555d3849c066e5ec78720f98fff59cecb4a2fa491051fdc28997f8,200,143.7,136,local-fast-path,dify_answer,True,0,
c93f473462c6ded5b4b51a1ff5f631492d0afa8e38f7f16d52b61c9edadcf6a5,200,152.8,146,local-fast-path,dify_answer,True,0,
5162c36d432ed0fa89b9e2308cc04e0739b2171f67bcdaaa4dd640e17c3f9fdb,200,143.2,136,local-fast-path,dify_answer,True,0,
8dbcb110c8e6f88f4f647d19dd06e2956298434b3f35aea4282cbe51f2b966d1,200,171.2,164,local-fast-path,dify_answer,True,0,
f48f4d3da41c3a27d40b11198faec2c015980c800aab83c761e12981f08860cb,200,162.1,153,local-kb-complete,local_complete_answer,True,0,
a3eb71d098a7509e0d2ffeed2b5053bdf4a08e2a2b187b1218f5ba028973665b,200,97.3,89,local-kb-complete,local_complete_answer,True,0,
8702bc247204564fcc96ba4090c37d317333c6ac4dfac3eb0e7c8e934ff9cb73,200,107.7,100,rule-engine,rule_direct_answer,True,0,
481f926ecfdc11068a1812792cb450a05b3f919a178325abb960a4356992bf4d,200,156.8,147,local-fast-path,dify_answer,True,0,
