pack_id,source_run,source_type,eval_id,category,subcategory,question,answer,decision,model,elapsed_ms,expected_lane,expected_action,expected_keywords,risk_level,conversation_group,turn_no,citation_0_title,citation_1_title,citation_2_title,human_score,human_notes,review_status,priority,expert_score,expert_notes,final_score,final_notes
ACC-0008,eval_50_human_scored,historical_scored,EV-008,化学,危化品安全,使用甲醛溶液时需要注意哪些安全事项？,操作须在通风柜中进行，确保前窗高度适宜、风速正常。戴护目镜、实验服与耐化学品手套。甲醛废液应分类入有机废液桶，禁止下水道。容器密闭贴标签，注明名称、浓度、危险性、日期及责任人。,dify_answer,dify-workflow,10756,,,甲醛;致癌;通风柜;孕妇;IARC,,,,危化品-甲醛安全使用,危化品-甲苯储存与使用,设备-电泳仪安全使用,2,操作规范正确但未提及致癌性和孕妇禁忌，缺少关键WHY信息,scored,P0,,,2,操作规范正确但未提及致癌性和孕妇禁忌，缺少关键WHY信息
ACC-0009,eval_50_human_scored,historical_scored,EV-009,化学,危化品安全,使用二氯甲烷做萃取时需要注意什么？,使用二氯甲烷须在通风柜内操作，确认前窗高度合适、风速正常。全程佩戴护目镜、实验服和防化手套。废液分类入有机废液桶，禁止下水道。,dify_answer,dify-workflow,5409,,,二氯甲烷;致癌;通风柜;丁腈手套;卤代废液,,,,危化品-二氯甲烷安全使用,低温安全-液氮操作规范,设备安全-高压灭菌锅操作,2,操作层面正确但未指明DCM的IARC 2A致癌性及丁腈手套特殊性,scored,P0,,,2,操作层面正确但未指明DCM的IARC 2A致癌性及丁腈手套特殊性
ACC-0013,eval_50_human_scored,historical_scored,EV-013,化学,应急,实验室发生大量化学品泄漏时应该怎么做？,"结论:
若发生化学品泄漏：隔离现场、避免接触和吸入，在安全前提下通风并使用泄漏应急物资处理，立即报告实验室管理人员。

步骤:
1. 立即停止当前操作并隔离危险源。
2. 第一时间通知实验室负责人和安全联系人。
3. 按本单位 SOP 执行现场控制、上报和记录。

禁止事项:
- 禁止继续开展当前高风险操作。
- 禁止绕过通风、审批、联锁或 PPE 要求。

应急升级:
- 如存在受伤、起火、泄漏或暴露风险，立即启动应急预案。

参考依据:
- KB-MSDS-2019: 高等学校实验室安全规范（教育部2024）; 危险化学品安全管理条例
- KB-GEN-7127: 高等学校实验室安全规范（教育部2024）
- KB-1052: 高等学校实验室安全规范",emergency_redirect,rule-engine,43,,,泄漏;疏散;围堵;吸收;SDS,,,,应急-化学品大量泄漏处置,应急-地震时实验室应急,未知化学品泄漏时先做什么,2,模板化应急回复，方向正确但缺少化学品泄漏的分级响应（一级/二级/三级）,scored,P0,,,2,模板化应急回复，方向正确但缺少化学品泄漏的分级响应（一级/二级/三级）
ACC-0014,eval_50_human_scored,historical_scored,EV-014,化学,应急,强酸或强碱溅到眼睛了应该怎么处理？,"结论:
若化学品溅入眼睛：立即用洗眼器或大量清水持续冲洗，同时联系实验室管理人员并尽快就医。

步骤:
1. 立即停止当前操作并隔离危险源。
2. 第一时间通知实验室负责人和安全联系人。
3. 按本单位 SOP 执行现场控制、上报和记录。

禁止事项:
- 禁止继续开展当前高风险操作。
- 禁止绕过通风、审批、联锁或 PPE 要求。

应急升级:
- 如存在受伤、起火、泄漏或暴露风险，立即启动应急预案。

参考依据:
- KB-GEN-7132: 高等学校实验室安全规范（教育部2024）
- KB-GEN-7129: 高等学校实验室安全规范（教育部2024）
- KB-MSDS-2018: GB 18597-2001 危险废物贮存污染控制标准; 危险废物污染防治技术政策",emergency_redirect,rule-engine,40,,,洗眼器;撑开眼睑;冲洗15分钟;就医,,,,应急-化学品灼伤眼睛,应急-水银温度计打破,危废-含重金属废液处置,2,立即冲洗正确但缺少冲洗≥15分钟和撑开眼睑的关键细节,scored,P0,,,2,立即冲洗正确但缺少冲洗≥15分钟和撑开眼睑的关键细节
ACC-0018,eval_50_human_scored,historical_scored,EV-018,化学,危废处置,实验室的过期化学品应该如何处理？,"{""answer"":""实验室过期化学品应分类收集，标签清晰，交由有资质的专业机构处置，严禁随意倾倒。"",""steps"":[""检查标签，按危险特性分类存放于专用容器。"",""联系有资质的危废处置单位统一回收。"",""记录处置台账，严禁混入生活垃圾或下水道。""],""ppe"":""护目镜、实验服、防化手套"",""forbidden"":""禁止直接倒入下水道或与普通垃圾混放，禁止私自焚烧或掩埋。"",""emergency"":""若发生泄漏，隔离区域，佩戴PPE，用吸附材料处理并按危废收集。""}",dify_answer,dify-workflow,17615,,,过期化学品;危废;分类;过氧化物;专业处置,,,,危废-过期化学品处置,危化品-化学品分类储存原则,危废-生物废弃物处置,2,一般性处置流程正确但未特指过氧化物形成物的特殊风险,scored,P0,,,2,一般性处置流程正确但未特指过氧化物形成物的特殊风险
ACC-0019,eval_50_human_scored,historical_scored,EV-019,化学,危废处置,含重金属的实验废液应该怎么处理？,"{""answer"":""含重金属的实验废液应分类收集，禁止排入下水道，交由有资质的单位处置。"",""steps"":[""使用专用容器收集，避免混入有机废液或酸碱。"",""容器需标注“重金属废液”、成分、日期及责任人。"",""密封暂存于危废储存区，定期联系危废公司清运。""],""ppe"":""操作时须佩戴护目镜、实验服及耐化学品手套。"",""forbidden"":""严禁倒入下水道或与普通垃圾混放，防止环境污染。"",""emergency"":""""}",dify_answer,dify-workflow,14150,,,重金属;单独收集;汞;六价铬;专业处置,,,,危废-含重金属废液处置,危废-化学废液分类收集,应急-实验室停电应急处置,2,分类收集和禁止下水道正确，但缺少汞/六价铬等具体重金属示例,scored,P0,,,2,分类收集和禁止下水道正确，但缺少汞/六价铬等具体重金属示例
ACC-0023,eval_50_human_scored,historical_scored,EV-023,化学,应急,实验室突然停电应该怎么处理？,实验室停电时：先关闭设备开关，启用应急照明，避免恢复供电时冲击损坏；检查关键设备（如通风柜、低温冰箱）状态；向负责人或物业报告，确认断电原因与预计恢复时间。,dify_answer,dify-workflow,5083,,,停电;关闭加热;通风柜;气瓶阀门;应急照明,,,,应急-实验室停电应急处置,危废-含重金属废液处置,应急-水银温度计打破,2,基本处置正确但未明确提及关闭加热设备和气瓶阀门,scored,P0,,,2,基本处置正确但未明确提及关闭加热设备和气瓶阀门
ACC-0026,eval_50_human_scored,historical_scored,EV-026,设备安全,加热设备,使用马弗炉时需要注意哪些安全事项？,使用马弗炉需严格防烫、防火、防爆。操作前检查线路和炉膛，佩戴隔热手套。加热时控制温度，禁止放入易燃品。停用后断电冷却，确认通风良好。,dify_answer,dify-workflow,4711,,,马弗炉;高温;坩埚;开门温度;隔热手套,,,,设备-马弗炉安全使用,危化品-甲苯储存与使用,危化品-硝酸安全使用,2,基本要点正确但过于简略，缺少坩埚使用和降温开门的详细说明,scored,P0,,,2,基本要点正确但过于简略，缺少坩埚使用和降温开门的详细说明
ACC-0041,eval_50_human_scored,historical_scored,EV-041,通用,PPE,进入化学实验室必须佩戴哪些个人防护装备？,进入化学实验室必须佩戴护目镜、实验服、手套，必要时加防毒口罩。先检查装备完好，再按规范穿戴到位。,dify_answer,dify-workflow,13554,,,PPE;实验服;护目镜;封闭鞋子;手套,,,,PPE-实验服选择与使用,实验室安全知识-化学化工学院门户网站,化学化工实验室安全管理规范（片段4）,2,基本PPE覆盖但遗漏封闭鞋这一强制性实验室PPE要求,scored,P0,,,2,基本PPE覆盖但遗漏封闭鞋这一强制性实验室PPE要求
ACC-0060,alignment_v2_round6,proposal_alignment_round2,ALIGN-0010,化学,分类储存,硝酸和乙醇能放在同一个柜子里吗？,"结论:
不能。硝酸属于强氧化性酸，乙醇属于易燃有机溶剂，应按不相容化学品分开储存，不得放在同一柜体或同层。

步骤:
1. 先按化学品相容性重新核对危险特性，不要只看是否‘都能进柜’。
2. 氧化性酸、易燃有机溶剂等不相容物质应分柜或分区隔离存放。
3. 如现场柜体分类不明确，先暂停放置并联系实验室负责人确认。

禁止事项:
- 禁止将不相容化学品同柜、同层或紧邻混放。
- 禁止在未核对标签、浓度和危险类别前凭经验判断可否共存。

参考依据:
- KB-GAP-8042: Cornell Lab Safety Manual Ch.7 Transporting Chemicals; Hazardous Materials Transportation Act
- KB-BLK-9079: OSHA 29 CFR 1910.1450 - Laboratory Standard
- KB-BLK-9153: Prudent Practices in the Laboratory (National Academies Press)",rule_direct_answer,rule-engine,69,rule-engine,拒绝危险混放并给正确储存,不能;氧化剂与易燃物分开;不相容储存,,,,在校园内不同实验室之间转运化学品需要注意什么？,UPS(不间断电源)的电池安全与维护,化学相容性速查——任何化学家必须掌握的禁忌组合,,,pending_review,P1,,,,
