id,url,affected_row_count,sample_source_title,original_status,manual_result,manual_access_time,reviewer,evidence_note,recommended_action
openstd-homepage,https://openstd.samr.gov.cn/,13,GB/T 34525-2017 等（多条不同标准共用首页引用）,network_error,webfetch_open_general_entry,2026-07-23,Claude (requests直连复核 + 原始HTML扫描 + 公开检索交叉核实),requests直连返回200（此前脚本环境为network_error，本次未复现远端重置，站点可达）；但该URL是openstd平台首页，并非具体标准详情页，无法核验某一具体标准号/名称/日期。这13行KB引用本身只挂了首页链接而非具体hcno详情页，是知识库数据本身的溯源精度问题，非本次可修复的死链问题。,"建议后续在知识库整理时，将这13行的source_url从首页替换为对应标准的具体hcno详情页链接（若能找到对应标准号的话），以满足""标准号可核验""的验收标准。"
openstd-GBT13869-2017,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0E0C42CADDB0D3E8DA27FECB80CCDE02,3,GB/T 13869-2017 用电安全导则,network_error,not_found_confirmed,2026-07-23,Claude (requests直连复核 + 原始HTML扫描 + 公开检索交叉核实),已在批次B中用原始HTML字节扫描确认：该hcno返回200但全文不含任何GB标准号，为无效/未找到记录。,需人工在openstd平台重新搜索“GB/T 13869-2017”获取正确hcno链接，更正知识库中的source_url。
openstd-GB19489-2008-dup,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=AEC2B0CFFC2BF1B8C7CF1888B77E2FE4,2,GB 19489-2008 实验室生物安全通用要求（重复/错误hcno）,network_error,not_found_confirmed,2026-07-23,Claude (requests直连复核 + 原始HTML扫描 + 公开检索交叉核实),已在批次B中确认：该hcno返回200但无GB编号，是对GB19489-2008的重复/错误引用；正确hcno为EB3B94B543F6E4CD18C044DE6AB64CEC（已归档）。,更正这2行KB引用的source_url为正确hcno（EB3B94B543F6E4CD18C044DE6AB64CEC）。
openstd-GB15258-2009,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=9C6A99E26AE0CA7E47B4BC9E8DF01F84,1,GB 15258-2009 化学品安全标签编写规定,network_error,not_found_confirmed,2026-07-23,Claude (requests直连复核 + 原始HTML扫描 + 公开检索交叉核实),本次用requests直连返回200（19922字节，与已确认的GB/T13869-2017、GB19489重复hcno两个“假页面”字节数一致）；用原始HTML正则扫描核实：全文不含任何GB标准号，确认为第三个“hcno指向不存在记录”的异常，不是真实的GB15258-2009页面。,需人工在openstd平台重新搜索“GB 15258-2009”获取正确hcno链接，更正知识库中的source_url。
openstd-GBT27476.1-2014,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=6C80C3CF343258529DA8841981A036D1,1,GB/T 27476.1-2014 检测实验室安全 第1部分：总则,network_error,archived_partial_metadata,2026-07-23,Claude (requests直连复核 + 原始HTML扫描 + 公开检索交叉核实),requests直连返回200（24201字节），原始HTML中确认标准号/中英文名称/状态/CCS/ICS/发布实施日期均真实存在（发布日期2014-12-05，实施日期2014-12-15）。全文预览仍需人工浏览器操作（JS渲染）。,"元数据已归档：artifacts/kb_source_archive_20260723/OPENSTD-GBT27476.1.html, artifacts/kb_source_archive_20260723/OPENSTD-GBT27476.1.md。标准号/名称/日期已可核验，符合批次C验收标准。"
openstd-GBT27476.5-2014,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=8BFEEBBE490CBAC79543F0DAD96F2E2E,1,GB/T 27476.5-2014 检测实验室安全 第5部分：化学因素,network_error,archived_partial_metadata,2026-07-23,Claude (requests直连复核 + 原始HTML扫描 + 公开检索交叉核实),同上（GBT27476.1），标准号/名称/日期均已核实真实存在。,"元数据已归档：artifacts/kb_source_archive_20260723/OPENSTD-GBT27476.5.html, artifacts/kb_source_archive_20260723/OPENSTD-GBT27476.5.md。"
openstd-GB19489-2008-real,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,8,GB 19489-2008 实验室生物安全通用要求,network_error,archived_partial_metadata,2026-07-23,Claude (requests直连复核 + 原始HTML扫描 + 公开检索交叉核实),已在批次B归档（本行只是在批次C清单中重复列出以保持完整性，不重复处理）。,"见批次B记录；元数据已归档：artifacts/kb_source_archive_20260723/OPENSTD-GB19489-2008.html, artifacts/kb_source_archive_20260723/OPENSTD-GB19489-2008.md。"
ansi-z9.5,https://webstore.ansi.org/standards/aiha/ansiz9.5,1,ANSI/AIHA Z9.5-2012 Laboratory Ventilation,blocked_or_forbidden,confirmed_paywalled_commercial_standard,2026-07-23,Claude (requests直连复核 + 原始HTML扫描 + 公开检索交叉核实),requests直连返回403，响应体为Cloudflare“Just a moment...”机器人验证挑战页（非目标内容，非死链）。该标准是ANSI/AIHA（现为ANSI/ASSP）出售的商业标准，官方全文本身不免费公开，不属于可强行绕过的技术性拦截。通过公开检索确认：标准号/名称属实（ANSI/AIHA Z9.5-2012《实验室通风》），且已被后续版本ANSI/ASSP Z9.5-2022取代——知识库当前引用的2012版可能已非最新版，值得后续内容复核。尝试查找AIHA官网的对应说明页（aiha.org），同样被同类反爬拦截，未获得替代镜像。,保留原ANSI webstore链接作为权威来源标注（标准号/名称已核验），但不作为“现场可点击”证据；结项材料应注明该标准为商业付费标准，且知识库引用版本(2012)已被2022版取代，建议后续评估是否需要更新引用版本。
ansi-z136.1-2014,https://webstore.ansi.org/standards/lia/ansiz13612014,1,ANSI Z136.1-2014 American National Standard for Safe Use of Lasers,blocked_or_forbidden,confirmed_paywalled_commercial_standard,2026-07-23,Claude (requests直连复核 + 原始HTML扫描 + 公开检索交叉核实),requests直连返回403，同样是Cloudflare挑战页，非死链。找到了该标准秘书处机构Laser Institute of America(LIA)官网的对应说明页（www.lia.org/resources/laser-safety-standards/ansi-z1361-safe-use-lasers，200，可直连），已归档为补充佐证材料，确认标准号/名称/范围（“Z136系列激光安全标准的母标准”）真实无误。同样确认2014版已被ANSI Z136.1-2022取代。LIA页面不含标准全文，仅为标准介绍。,"保留原ANSI webstore链接作为权威来源标注；已归档LIA说明页作为补充佐证：artifacts/kb_source_archive_20260723/LIA-ANSI-Z136.1.html, artifacts/kb_source_archive_20260723/LIA-ANSI-Z136.1.md。建议后续评估是否需要更新引用至2022版。"
iaea-pub8930,https://www.iaea.org/publications/8930/radiation-protection-and-safety-of-radiation-sources-international-basic-safety-standards,1,IAEA Radiation Protection and Safety of Radiation Sources: International Basic Safety Standards,blocked_or_forbidden,resolved_via_existing_open_sibling,2026-07-23,Claude (requests直连复核 + 原始HTML扫描 + 公开检索交叉核实),"requests直连返回403（Cloudflare挑战页，iaea.org主站对自动化客户端的常规反爬，非死链）。但知识库中另有6行KB引用同一份文件的PDF直链（www-pub.iaea.org/MTCD/Publications/PDF/Pub1578_web-57265295.pdf），该PDF链接在脚本审计中已是open/200状态；已下载该PDF并用pypdf读取元数据，确认PDF标题（“RADIATION PROTECTION AND SAFETY OF RADIATION SOURCES: INTERNATIONAL BASIC SAFETY STANDARDS”，IAEA GSR Part 3, STI/PUB/1578）与本行blocked页面的标题完全一致，二者是同一份文件的两个入口（网页版落地页 vs. PDF直链）。",该行对应的文件内容已可通过已开放的PDF直链（同一IAEA出版物）获取，无需单独归档；结项材料可说明“落地页因反爬无法直连，但同一文件的官方PDF已确认可访问”。
